cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website	email	lat	lon	desc	imageslinks	openinghours
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9011/New-and-used-cars/Bach-Garage-Gschwend-AG-XCOSVtiZ1Ymwo_zRV2agmw?dwhat=garrage&dwhere=st.+gallen	Bach-Garage Gschwend AG	St. Georgen-Strasse 162	 9011 St. Gallen	071 223 12 12	www.bachgarage-sg.ch		47.414377	9.391467	Gerne begrüssen wir Sie persönlich vor Ort an der St. Georgenstr. 162 in St. Gallen und zeigen Ihnen unsere neuesten Modelle und Occasionen. Wir beraten Sie über aktuelle Angebote, Aktionen und Neuigkeiten. Seit dem Jahre 1973 ist die Bach-Garage Gschwend St. Georgen im Besitz der Familie Gschwend. Mit einem motivierten und tatkräftigen Team beweisen wir jeden Tag, dass Freundlichkeit und Service zu unseren Grundlagen gehören. Die Zufriedenheit unserer Kunden steht an erster Stelle.Wir erledigen gerne die folgenden Arbeiten für Sie. Auf Bald.Ihr Team der Bach-Garage Gschwend AG.	["//www.local.ch/images/bp/info-image-ad/19/19e3362e800d09c8bdc4da06b7cd971a0402e858/upload1.jpg","//www.local.ch/images/bp/info-image-ad/a9/a915b8acefbce6ceea595c7250903692222d7521/upload1.jpg","//www.local.ch/images/bp/info-image-ad/49/49fe2c7871aa7a4c0c92265bdb5a6e9ce7bacf03/upload1.jpg"]	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Garage/Aumo-Garage-AG-f5YAwCA_XOqAkOFx0oCh8Q?dwhat=garrage&dwhere=st.+gallen	Aumo Garage AG	St. Jakob-Strasse 63	 9000 St. Gallen	071 245 09 23	www.aumogarage.ch		47.431457	9.381115	Ihr Anliegen ist unser Anspruch.Unser Team ist flexibel, freundlich und aufgestellt.Bei weiteren Fragen oder Anliegen stehen wir Ihnen gerne zur Verfügung.Unsere Kompetenzen: Schneefräsen:Honda bietet für jede Anwendung die perfekte Lösung, egal ob Sie nur einen kurzen Gehweg, einen Parkplatz oder die Garagenzufuhr eines Mehrfamilienhauses von Schnee befreien müssen. Die zu räumende Fläche ist jedoch nur ein Punkt unter vielen, die bei der Auswahl der richtigen Fräse beachtet werden müssen.Rasenmäher, Rasentraktoren, Handgeräte, RasenroboterMähen mit dem Honda Rasentraktoren heisst mähen mit den Besten. Sie sind das Mass für Komfort und Fangeigenschaft für grosse Rasenflächen. Design, Qualität und Verarbeitung suchen Ihresgleichen. Das einzigartige Luftstromsystem der Honda Rasentraktoren macht sie zu den besten Fängern am Markt. Kaum ein Halm bleibt liegen und lästiges Verstopfen gehört der Vergangenheit an.	["//www.local.ch/images/bp/info-image-ad/19/193416713771df6ebe7b1f99e8e9ce06cf0114db/data.png","//www.local.ch/images/bp/info-image-ad/63/638d8de7ba8954dce66fecf6e3e9de3fbb97a4a2/data.png","//www.local.ch/images/bp/info-image-ad/67/67693b3878db58df95934b24a7be4acdaaaf6268/data.png","//www.local.ch/images/bp/info-image-ad/f1/f1d54842b0f8b522f03ecc5e851917b250924ffe/data.png","//www.local.ch/images/bp/info-image-ad/48/487c9fd1d0f7b2ddcdc5b74e24d8c08a0add1b8b/data.png"]	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/New-and-used-cars/Bild-Garage-AG-KdUh7tsV5E4Ebu8PcVIMww?dwhat=garrage&dwhere=st.+gallen	Bild-Garage AG	Zürcher Strasse 431	 9015 St. Gallen	071 311 12 33	www.bildgarage.ch		47.407067	9.309643		["//www.local.ch/images/bp/localplace-images/ca/ca8a086e4e47c0121b9128a2fda0363fdfe34bda/Bild%20Garage%20AG,%20St.%20Gallen%20-%20Logo.png","//www.local.ch/images/bp/info-image-ad/5b/5be4ab8fec9b5277af290c2f2c45644fc3c83f4a/upload1.jpg"]	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Garage/Auto-Zentrum-West-AG-V2PyfSOSm4SaFT9mcNYOvQ?dwhat=garrage&dwhere=st.+gallen	Auto-Zentrum West AG	Piccardstrasse 1	 9015 St. Gallen	071 311 66 66	www.az-west.ch		47.409321	9.313234	Die Mitarbeiter der Auto-Zentrum West AG sind immer bestrebt, die optimale Lösung für Ihre Bedürfnisse zu finden.ServicesIhr Fahrzeug hat ein langes Leben – wir sorgen dafür!Unsere Serviceleistungen :Nutzfahrzeuge:Personentransporter:Spezialumbau:Lagerfahrzeuge:Marken:	[]	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Garage/LIGA-Lindengut-Garage-AG-ZIFSK4kSHrvFMjT9m0B-Og?dwhat=garrage&dwhere=st.+gallen	LIGA Lindengut- Garage AG	Fürstenlandstrasse 102	 9014 St. Gallen	071 274 55 33	www.liga.ch		47.412695	9.344009	In unserem modernen Showroom präsentieren wir Ihnen laufend die aktuellen Modellen der Marken, Fiat, Alfa Romeo, Abarth, Lancia und Fiat Professional, sowie die US-Automarken Cadillac, Camaro und Corvette. Ausserdem finden Sie bei uns eine grosse Auswahl an gepflegten Vorführwagen und Occasionen. Wie im Verkauf legen wir auch im Kundendienstbereich grössten Wert auf eine kompetente und zuvorkommende Beratung. Eine top ausgerüstete Werkstatt, eine Spenglerei sowie ein leistungsfähiges Ersatzteil- und Zubehörlager bilden die Grundlage unserer konsequenten Qualitässicherung.Kommen Sie vorbei – der Weg in die LIGA lohnt sich immer. Unser motiviertes Team freut sich auf Ihren Besuch.Ihre LIGA Lindengut-Garage AG	[]	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Garage/INFINITI-Center-St-Gallen-8yqNoBbLHwdrUeiUJZLp5A?dwhat=garrage&dwhere=st.+gallen	INFINITI Center St. Gallen	Rorschacher Strasse 284	 9016 St. Gallen	071 282 10 11	www.infiniti-stgallen.ch		47.442848	9.414513	Vergangenheit, Gegenwart und ein Blick in die Zukunft…Infiniti hat es weit gebracht. Und mit perfekt auf die hohen Anforderungen des europäischen Marktes abgestimmten Fahrzeugen, ist die Marke nun bereit, das nächste Kapitel aufzuschlagen. Eine spannende Zeit für uns, aber ganz besonders auch für Sie…In den USA von der japanischen Muttergesellschaft Nissan gegründet, ist Infiniti heute auch in Europa vertreten. Dabei haben wir uns in den vergangenen 20 Jahren konsequent weiterentwickelt und stets darauf geachtet, dass unsere Marken-DNA, von uns auch als moderner japanischer Luxus bezeichnet, die Grundlage unseres Handelns bildet. In den vergangenen Jahren haben wir uns nun der Aufgabe gewidmet, unsere DNA an die kritischsten Fahrer und den anspruchsvollsten Automarkt der Welt anzupassen, Europa.Infiniti-Zentren sind bekannt für ihre beeindruckende Architektur, die einladende Atmosphäre und einen einmaligen Service.Infiniti ist jetzt in St.Gallen, und eines können wir Ihnen versprechen: Das Warten hat sich gelohnt.Unser Service:	["//www.local.ch/images/bp/info-image-ad/6f/6fa7c8ee6b23b72c9c076cf71cd8711e8f16182e/upload1.jpg","//www.local.ch/images/bp/info-image-ad/6c/6c298d3f4b236c6bfc0803fb931b3cb290d62419/upload1.jpg"]	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Garage/Emil-Frey-AG-EKcXiojQpizTTO__RiqCTA?dwhat=garrage&dwhere=st.+gallen	Emil Frey AG	Molkenstrasse 3-7	 9000 St. Gallen	071 228 64 64	www.emilfrey.ch/autopark		47.425543	9.387701	Im sicherlich modernsten Garagenbetrieb der Ostschweiz finden Sie die grösste Auswahl von sieben Weltmarken in grosszügigen Ausstellungsräumen. In den übersichtlich gestalteten Räumlichkeiten finden Sie sich schnell zurecht; auf einzelne Marken spezialisierte Verkaufsberater geben Ihnen gerne individuell, kompetent und zuvorkommend Auskunft. Unsere erfahrenen Fachleute im Kundendienst und in der Werkstatt kennen «ihre» Marke in- und auswendig – nicht zuletzt deshalb, weil wir grossen Wert auf Weiterbildung legen.Wir freuen uns auf Ihren Besuch!Ihre Emil Frey AG, Autopark Ruga St. GallenGeschäftsleitung: Christian FreyMitarbeiter: 75Verkaufsfläche: über 2000 m²In St. Gallen seit: 1968Besonderheiten: Nach Markenanforderung geschultes PersonalÖFFNUNGSZEITEN:Verkauf Mo–Fr 08.00–12.00 / 13.15–18.30Sa 09.00–16.00 Kundendienst WerkstattMo–Fr 07.30–12.00 / 13.15–17.30 Spenglerei / MalereiMo–Fr 07.30–12.00 / 13.15 –17.30 ErsatzteillagerMo–Fr 07.30–12.00 / 13.15–17.30 WaschanlageMo 13.15–18.00Di–Fr 07.30–12.00 / 13.15–18.00Sa 07.30–16.00	["//www.local.ch/images/bp/info-image-ad/4e/4e71e9c4e1e947cca8d6dfa7248226daaf4a6083/upload1.jpg"]	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Garage/Bruggen-Ruhberg-Garage-AG-0wSqspPe1dwcLgLtLi8X3g?dwhat=garrage&dwhere=st.+gallen	Bruggen Ruhberg Garage AG	Ruhbergstrasse 34	 9000 St. Gallen	071 277 08 27	www.peugeot-stgallen.ch		47.414707	9.36216	Durch unsere langjährige Erfahrung wissen wir was zählt und gehen gerne auf die Wünsche unserer Kunden ein.Durch fachbezogene permanente Schulung können wir die korrekte Instandsetzung der Eigenmarke, wie auch Fremdmarken, innert nützlicher Frist gewährleisten.Bei länger dauernden Reparaturen stehen bei uns Ersatz-Fahrzeuge zur Verfügung.Wir Freuen uns auf Sie.Einfach alles rund ums fahren.	[]	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Garage/Auto-Zollikofer-AG-BTZQgYxgRCF3Tor-ryF80A?dwhat=garrage&dwhere=st.+gallen	Auto Zollikofer AG	Rorschacher Strasse 284	 9016 St. Gallen	071 282 10 20	www.autozollikofer.ch		47.442848	9.414513	Auto Zollikofer AG – Peugeot totalNebst seriöser und fairer Beratung im Verkauf von Neu- und Occasionsfahrzeugen, verfügen wir über eine komplett eingerichtete Werkstatt mit sämtlichen Diagnosegeräten.Auto total – Ihr Partner für alle Fälle: Topmoderne Ausstattung, dynamisches Design und einzigartiges Fahrerlebnis bietet Ihnen Peugeot mit einem umfassenden Modellprogramm.WerkstattUm Ihnen qualitativ hochstehende und gleichzeitig preiswerte Dienstleistungen zu bieten, sorgen wir dafür, dass unsere Werkstatt jederzeit auf dem technisch neuesten Stand ist. Gleichzeitig werden unsere Mitarbeiter ständig geschult.Die Werkzeuge und Einrichtungen werden sorgfältig gewartet und regelmässig ersetzt. Dabei wird darauf geachtet, dass die Hilfsmittel den technischen Fortschritt mitmachen – und wir somit jederzeit fähig sind, auch die neusten Modelle sachgerecht zu warten.Wir bieten unseren Kunden Ersatzwagen der neusten Bauart zu preiswerten Konditionen an. Damit bleiben Sie mobil! Ausserdem erreichen Sie durch gute Stadtbus und Postautoverbindungen das Stadtzentrum St. Gallen in wenigen Minuten.WaschanlageSchonendes Waschen garantiert!Unsere moderne Waschanlage steht Ihnen während der Werkstatt-Öffnungszeiten zur Verfügung. Lassen Sie Ihr Fahrzeug von unserem geschulten Personal waschen und pflegen.Wir bieten auch komplette Fahrzeugwäsche inkl. Innenreinigung an.	["//www.local.ch/images/bp/info-image-ad/0c/0c44a099ca946562141ae57e9d83b43305901f09/upload1.jpg","//www.local.ch/images/bp/info-image-ad/d0/d0daaefd6454adc154a56fe32b859f8a30eba2d3/upload1.jpg","//www.local.ch/images/bp/info-image-ad/a9/a980cfdd494d277a733978a1fb302490504fb60f/upload1.jpg","//www.local.ch/images/bp/info-image-ad/a0/a09d29be11c2f4f335eef67e4a6a0c1be3983583/upload1.jpg"]	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/Abtwil-SG/9030/Tires-tire-service/Agom-Pirelli-Tyre-Suisse-SA-GLMrvzRC-UVpJ6GHVbENng?dwhat=garrage&dwhere=st.+gallen	Agom Pirelli Tyre (Suisse) SA)	Bildstrasse 8	 9030 Abtwil SG	071 313 90 60	www.pneu-aeple.ch		47.414742	9.311304		[]	
