cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website	email	lat	lon	desc	imageslinks	openinghours
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Hotel/Hotel-Sporting-S8WI0rJ0Nh3ppSOT6-s8kQ?dwhat=hotel&dwhere=st.+gallen	Hotel Sporting	Straubenzellstrasse 19	 9014 St. Gallen	071 272 30 30	www.hotel-sporting.ch		47.408947	9.333418	Liebe Hotelgäste!Es gibt viele gute Gründe, der Ostschweizer Metropole St. Gallen einen Besuch abzustatten. Und es gibt noch bessere Gründe, Ihren Aufenthalt in unserem gastlichen Haus zu verbringen. Das Hotel Sporting in St. Gallen ist weltoffen und gross genug, um Ihnen jene persönliche und gemütliche Ambiance zu bieten, in der Sie sich als Gast wohl fühlen. Die komfortabel und wohnlich ausgestatteten Hotel-Zimmer und ein weiterer Grund für Ihren Aufenthalt im Hotel Sporting! täglich unser Frühstücksbuffet ab 6.00 Uhr bis 9.30 Uhr wie im 5 Sterne Hotel. Wir geben uns Mühe, dass künftig auch Sie zu unseren stets wiederkehrenden Freunden zählen werden. Hotel Sporting-Ihr Zuhause in St.Gallen Das Haus, wo man gerne ist. Yi LiIhr Gastgeber	[]	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Hotel-Metropol-Z5BxRnHNf5pFKbRG2A2sAA?dwhat=hotel&dwhere=st.+gallen	Hotel Metropol	Bahnhofplatz 3	 9000 St. Gallen	071 228 32 32	www.hotel-metropol.ch		47.422953	9.370491	Das charmante Hotel Metropol liegt mitten in der Stadt St. Gallen. Einkaufsmöglichkeiten, Banken und Versicherungen, kulturelle Einrichtungen, Freizeit- und Sportanlagen sowie Ausgehmöglichkeiten sind in unmittelbarer Nähe. Egal, ob Sie auf Geschäftsreise sind, an einem der zahlreichen Kongresse in der Region teilnehmen, in den Olma-Messehallen ausstellen oder einfach nur Freunde in der Ostschweiz besuchen möchten: Hier können Sie sich ganz wie zu Hause fühlen.	["//www.local.ch/images/bp/info-image-ad/67/67870f92c7de0645239502b5bcdc677963c7d4d7/6U62n6oYKcmAoAv4Rn5WBA.jpg","//www.local.ch/images/bp/localplace-images/8e/8ef663b4803c9bafa91166a33b3f296966e86866/Hotel%20Metropol%20Zimmer.jpg","//www.local.ch/images/bp/localplace-images/e4/e4349f984ffcfd7d61254427ecd9673a658ecb15/Hotel%20Metropol%20Empfang.jpg"]	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Restaurant/Am-Spisertor-2ucFB671UfV0C-Tpl9uQxg?dwhat=hotel&dwhere=st.+gallen	Am Spisertor	Moosbruggstrasse 1	 9000 St. Gallen	071 228 82 83	www.spisertor.ch		47.424037	9.37989	Mitten in der Stadt St. Gallen, am Rande der Fussgängerzone gelegen, erwartet Sie das Hotel am Spisertor. Einladend, um nach einem erlebnisreichen Tag die Erholung zu finden, oder in der nahen Altstadt auf Entdeckungsreisen zu gehen.Unsere 12 rauchfreien Doppelzimmer können auch als Einzelzimmer belegt werden. Sie bieten Ihnen Komfort und Bequemlichkeit. Alle Zimmer sind mit Dusche/WC, Direktwahltelefon, Wireless LAN, Zimmersafe, Radiowecker, Kabel-TV ausgestattet.	["//www.local.ch/images/bp/info-image-ad/30/301ad29046593cb365d646fd882ee3a025e6e65b/JSsd4TIA93FUr1roulep2g.jpg","//www.local.ch/images/bp/info-image-ad/b7/b74a86095960393ceeb037e1b126e56472dc6464/data.png","//www.local.ch/images/bp/info-image-ad/3b/3b074f6b04f223671cfc175aaaac249615944803/data.png","//www.local.ch/images/bp/info-image-ad/c7/c7289214e5072d27d962cd5ff1d3675e282bd281/data.jpg","//www.local.ch/images/bp/info-image-ad/6b/6b5f3afe1b47fcc04f1801ba81e72426e153dd66/data.png","//www.local.ch/images/bp/info-image-ad/24/240593e6cbecf5f3bc0cacddfea4202696602629/data.png","//www.local.ch/images/bp/info-image-ad/79/7920123105d4291bd705635845a892077e581e09/data.png"]	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Dom-OlKgWnGObHoDEmK7TrfIDg?dwhat=hotel&dwhere=st.+gallen	Dom	Webergasse 22	 9000 St. Gallen	071 227 71 71	www.hoteldom.ch		47.422767	9.375124		["//www.local.ch/images/bp/info-image-ad/a3/a37472444543a589db9655fb65524430e8d14d27/8F4F99CB-B801-BE53-2885-E2C3BB6D99FF_innen_1.jpg","//www.local.ch/images/bp/info-image-ad/7b/7b86b51109e49e687b0c34a0e3d204f5aa07485e/8F4F99CB-B801-BE53-2885-E2C3BB6D99FF_innen_2.jpg","//www.local.ch/images/bp/info-image-ad/67/67fa81d4e7ba078de05a74dd45c620c099c15f67/8F4F99CB-B801-BE53-2885-E2C3BB6D99FF_innen_3.jpg","//www.local.ch/images/bp/info-image-ad/8a/8adca24490a6c306cec0d05a2948cfcf28f51510/8F4F99CB-B801-BE53-2885-E2C3BB6D99FF_aussen_1.jpg","//www.local.ch/images/bp/info-image-ad/bc/bccba4556d9e876fb07940aed44db87607f35e1b/8F4F99CB-B801-BE53-2885-E2C3BB6D99FF_aussen_2.jpg"]	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Schwanen-dwET6GfSXiWf5wPhlyD7CQ?dwhat=hotel&dwhere=st.+gallen	Schwanen	Webergasse 23	 9000 St. Gallen	071 222 65 62			47.422717	9.375454		[]	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Elite-Garni-HTwknc7KQX7sj72k0vuSBg?dwhat=hotel&dwhere=st.+gallen	Elite Garni	Metzgergasse 9-11	 9000 St. Gallen	071 227 99 33	www.hotel-elite.ch		47.426767	9.375389		[]	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Hotel/Hotel-one66-AG-Rwe6g5qFviFauFhfORpwxA?dwhat=hotel&dwhere=st.+gallen	Hotel one66 AG	Alte Bildstrasse 6	 9015 St. Gallen	071 314 71 71	www.one66.ch		47.407619	9.308893		[]	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Gallo-zBJuKr-yvfK4vvEkf4WTnQ?dwhat=hotel&dwhere=st.+gallen	Gallo	St. Jakob-Strasse 62	 9000 St. Gallen	071 242 71 71	www.hotel-gallo.ch		47.43122	9.381279		[]	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Weisses-Kreuz-BknGBAd0AImruHojSUKo_A?dwhat=hotel&dwhere=st.+gallen	Weisses Kreuz	Engelgasse 9	 9000 St. Gallen	071 223 28 43	www.weisseskreuz-sg.ch		47.426502	9.374531		[]	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Einstein-Congress-Hotel-Spa-2tqJuozJ6934EjFmgT25Hg?dwhat=hotel&dwhere=st.+gallen	Einstein Congress Hotel Spa	Berneggstrasse 2	 9000 St. Gallen	071 227 55 55			47.421396	9.375366		["//www.local.ch/images/bp/info-image-ad/76/7641d442de58d658f239d33ea554a2e7d8dfc4b8/Einstein001.jpg","//www.local.ch/images/bp/info-image-ad/49/496460adb588dba05a80f2c0cf5c2a4c7f40aa6e/Einstein002.jpg","//www.local.ch/images/bp/info-image-ad/ce/ce98e063c83e1ac817a81f978a00966a25f8aecd/Einstein003.jpg","//www.local.ch/images/bp/info-image-ad/62/62519a38fb578fe010a99ae46826b57f4986e225/Einstein004.jpg"]	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Hotel/Hotel-Eastside-cbB-GSBKYaMec9ZGuy6JPw?dwhat=hotel&dwhere=st.+gallen	Hotel Eastside	Langgasse 151	 9008 St. Gallen	071 511 31 21			47.448865	9.397693		[]	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Hotel/Hotel-Newstar-Z3WULv4aRYpr-Gnr5Op4YQ?dwhat=hotel&dwhere=st.+gallen	Hotel Newstar	Breitfeldstrasse 9	 9015 St. Gallen	071 230 20 20			47.4077	9.311136		[]	
