cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website	email	lat	lon	desc	imageslinks	openinghours
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Cosmetic-institute/La-Boheme-Kosmetikstudio-10QK5rwk_Nz4atQKtkv5bw?dwhat=nails&dwhere=st.+gallen	La Bohème Kosmetikstudio	Rorschacher Strasse 110	 9000 St. Gallen	071 244 44 78	www.laboheme-kosmetik.ch		47.430261	9.391228	Gönnen Sie sich eine PauseIm Osten von St. Gallen, nahe dem Zentrum, an der Rorschacherstrasse 110, finden Sie mein Kosmetikstudio «La Bohème». Ich, Berate und Verwöhne Sie im exklusiven Haus der Schönheit.Bei La Bohème Kosmetik wird Ihnen auf 120 m² pure Entspannung geboten.In den drei individuell Eingerichteten Zimmern wird eine einzigartige Atmosphäre geboten. Das vierte Zimmer wird für die Selbstbräunung mit dem Air-Brush genutzt. Lassen Sie sich in dieser Wohlfühl-Oase verwöhnen.Ich freue mich auf Ihren Besuch.Jeannine Alder	["//www.local.ch/images/bp/info-image-ad/c2/c2c74e45a42dfc8778993c50ef59c9888ba6fd42/data.jpg","//www.local.ch/images/bp/info-image-ad/34/34af4ddfc540daaf2b0a51e32caa65748d4028d8/data.jpg","//www.local.ch/images/bp/info-image-ad/65/6507645d73067fa76dde62ed4f212d01ac27038f/data.jpg","//www.local.ch/images/bp/localplace-images/9b/9bfd0b9080287ec6780123703a00271f4054ac12/La%20Boheme%20001.jpg","//www.local.ch/images/bp/localplace-images/2d/2df4ade00a10dca042e4cbce3eb33431b90c1903/La%20Boheme%20005.jpg","//www.local.ch/images/bp/localplace-images/b7/b745ded0c20c37800ca6422c849f607d6187399a/OPI.jpg","//www.local.ch/images/bp/localplace-images/af/af3b6115f7aa4b152b5641c118c0c65535164a4a/la%20boheme%20regal.jpg","//www.local.ch/images/bp/localplace-images/f7/f7d01adfc04c0539a786976c7966301ad57da205/la%20boheme%20ring.jpg","//www.local.ch/images/bp/localplace-images/3c/3c82a03dcea5721b0144986fb1a8610207ecb436/stage%20color.jpg","//www.local.ch/images/bp/localplace-images/4c/4c006e1e9015a4c89c7ea0b4f45afe72744eb9c0/stage.png"]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Hairdresser/Hairstyling-Benz-9c5kJums92IW88y6kIAbHg?dwhat=nails&dwhere=st.+gallen	Hairstyling Benz	Zürcher Strasse 236	 9014 St. Gallen	071 277 29 26			47.410968	9.332523		["//www.local.ch/images/bp/localplace-images/83/83a6f42b3ab850109a5ee3bac99a8de03c627a2d/IMG_2674.jpg","//www.local.ch/images/bp/localplace-images/4c/4ceae7d36ea10963f065e5849de3f5b0ae271911/IMG_2667.jpg","//www.local.ch/images/bp/localplace-images/26/26353b6669e18654579101d4c2a6f4f9b4ba5f02/IMG_2668.jpg","//www.local.ch/images/bp/localplace-images/bd/bd2a6a27f325d7bfa6c0077d3c202ea7e5ce58f5/IMG_2669.jpg","//www.local.ch/images/bp/localplace-images/01/01ca166c57ee2af52e7653ee5164ef9cf2755b23/IMG_2672.jpg"]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hairdresser/Coiffure-Nagelstudio-TERESA-BONAZZA-E2QCvbeeQnZgBGkAvtoO9Q?dwhat=nails&dwhere=st.+gallen	Coiffure- & Nagelstudio TERESA BONAZZA	Engelgasse 5	 9000 St. Gallen	071 222 88 34	www.coiffure-teresa.ch		47.426394	9.374567		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Cosmetic-Nail-Care-QPJW8Ira1vJsti9vpSkLjw?dwhat=nails&dwhere=st.+gallen	Cosmetic & Nail Care	Zürcher Strasse 26	 9000 St. Gallen	071 278 88 77	www.cosmetic-nailcare.ch		47.419953	9.355059		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Nail-cosmetics/Laguardia-Miriam-Spitaleri-tNNTa4zhLQ0LYAd8Q7f3fQ?dwhat=nails&dwhere=st.+gallen	Laguardia Miriam (-Spitaleri)	Hinterberg 24	 9014 St. Gallen	078 609 40 52			47.404516	9.326542		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Nails-by-Iris-MNoTVEnNZdldr1cquTMCeg?dwhat=nails&dwhere=st.+gallen	Nails by Iris	Wiesenstrasse 6	 9000 St. Gallen	078 859 26 58			47.41873	9.378225		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hairdresser/Reduit-Haute-Coiffure-oDyLfb80HulA0IaJSz1apA?dwhat=nails&dwhere=st.+gallen	Reduit Haute Coiffure	Metzgergasse 10	 9000 St. Gallen	071 222 51 10	www.steinmann-ag.ch		47.426726	9.375679		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Angel-Nails-Beauty-Spa-plW517ON7YyEjkKwTpNI2Q?dwhat=nails&dwhere=st.+gallen	Angel Nails & Beauty Spa	Schmiedgasse 13	 9000 St. Gallen	071 558 45 88			47.424046	9.376112		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Beauty-Corner-Rubin-vO_eazNvfmSwT5j-BOFszA?dwhat=nails&dwhere=st.+gallen	Beauty Corner Rubin	Merkurstrasse 4	 9000 St. Gallen	071 244 44 48			47.423713	9.371858		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Beauty-Nail-Design-_2oBHknHG80E-Wny1qbjbQ?dwhat=nails&dwhere=st.+gallen	Beauty & Nail Design	Adlerbergstrasse 7	 9000 St. Gallen	071 244 88 18			47.431524	9.380866		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Beauty-Place-Cosmetics-Naildesign-3Ko6v7WmlAH7rqZWWORqgQ?dwhat=nails&dwhere=st.+gallen	Beauty Place Cosmetics & Naildesign	Rosenbergstrasse 76	 9000 St. Gallen	071 277 10 07			47.423197	9.366126		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Nail-cosmetics/Cosmetic-Nail-Harmonie-ONMX0dEdPbUGAM91nLW4hg?dwhat=nails&dwhere=st.+gallen	Cosmetic & Nail Harmonie	Zürcher Strasse 235	 9014 St. Gallen	071 277 24 71			47.410721	9.332779		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Fashion-Nails-maZUsxresBtgVp-jbFfClw?dwhat=nails&dwhere=st.+gallen	Fashion Nails	Linsebühlstrasse 41	 9000 St. Gallen	071 220 98 03			47.424717	9.382261		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Hairdresser/Hair-Nails-by-Elif-I-IwMmEEOYaU47MXwawtBA?dwhat=nails&dwhere=st.+gallen	Hair & Nails by Elif	Langgasse 71	 9008 St. Gallen	071 223 22 28			47.438837	9.390044		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Cosmetic-products/HNC-AG-Uq-tmcJX0IEZT6rA00agbw?dwhat=nails&dwhere=st.+gallen	HNC AG	Rorschacher Strasse 152	 9000 St. Gallen	071 282 90 20			47.431014	9.395604		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Jasmin-Beauty-SeIvpMepBbUpJHJCi4s9xw?dwhat=nails&dwhere=st.+gallen	Jasmin Beauty	Teufener Strasse 23	 9000 St. Gallen	078 613 20 16			47.419679	9.370426		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Nail-cosmetics/Lakic-Dobrila-jQBrL9CA5_6x51ganr5icA?dwhat=nails&dwhere=st.+gallen	Lakic Dobrila	Haggenhaldenstrasse 13	 9014 St. Gallen	071 279 28 55			47.406826	9.33928		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Mosler-Esther-J4VJL8eVc8KH3CuCkyqEvg?dwhat=nails&dwhere=st.+gallen	Mösler Esther	Oberer Graben 3	 9000 St. Gallen	071 222 04 11			47.425638	9.37454		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Nailart-Beautypoint-ua9hWEO89b2hJij3Wl6VBw?dwhat=nails&dwhere=st.+gallen	Nailart Beautypoint	Pestalozzistrasse 2	 9000 St. Gallen	071 220 33 64			47.420905	9.36758		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Naildesign-l9b1pCPPiPLyZN3Md5WFGw?dwhat=nails&dwhere=st.+gallen	Naildesign	Lindenstrasse 33	 9000 St. Gallen	079 589 69 97			47.43225	9.38849		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/SimoneNails-SHABA-Beauty-Cctt6uNbrkkBfSnKxynEMg?dwhat=nails&dwhere=st.+gallen	SimoneNails & SHABA - Beauty	Grossackerstrasse 10	 9000 St. Gallen	071 244 35 24			47.429275	9.39257		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hairdresser/Stylingpoint-XlsPmtVlZLSGfhgUX9eR5A?dwhat=nails&dwhere=st.+gallen	Stylingpoint	Brühlgasse 35	 9000 St. Gallen	071 220 86 46	www.stylingpoint.ch		47.425308	9.378651		[]	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Nail-Studio-Orchidee-PhUn_lc5pJAUleydulCxIg?dwhat=nails&dwhere=st.+gallen	Nail Studio Orchidee	Mittelholzerstrasse 9	 9015 St. Gallen	078 696 58 81			47.401934	9.300478		[]	
