cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website	email	lat	lon	desc	imageslinks	openinghours
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Bluten-und-Blatt-GmbH-kppxwPRlGdO5GnV3a5o6Nw?dwhat=florist&dwhere=st.+gallen	Blüten und Blatt GmbH	Schmiedgasse 26	 9000 St. Gallen	071 223 66 70	www.bluetenundblatt.ch		47.423914	9.375405	Ob Sie Ihre(n) Liebste(n) überraschen möchten oder für Ihren wichtigen Geschäftsabschluss einen exklusiven Blumenschmuck wünschen, wir sind gerne für Sie da.Wir erfinden uns jeden Tag neu für Sie!Mit einer Auswahl von wunderbaren Schnittblumen, saisonal aus regionalem Handel.Mit Leidenschaft wollen wir jeden Tag eine Freude bereiten!	["//www.local.ch/images/bp/info-image-ad/74/744460bb587666ce9cf17d30bfbb32d9550845d7/data.jpg","//www.local.ch/images/bp/info-image-ad/7e/7e945df3396fb1e0710e442f4a0cb5526cb21429/data.jpg","//www.local.ch/images/bp/info-image-ad/d7/d7316da457e9152b2b10d3e91c2db7bd7837dde8/data.jpg"]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Kronis-Blumen-und-Prasente-CHsNmgnrvVmcowT0Nh3p2g?dwhat=florist&dwhere=st.+gallen	Kröni's Blumen und Präsente	Spitalgasse 8	 9000 St. Gallen	071 222 86 10	www.kroenisblumen.ch		47.425704	9.377034	Herzlich willkommen!Das Team von Karin Kröni erfüllt den Kunden Blumenwünsche liebevoll und mit grösster Sorgfalt. Die Vielfältigkeit der Floristik bedeutet täglich eine grosse Herausforderung, da sie ein breites Spektrum an Ideen ermöglicht. Von der Blume bis zum Strauss, eine simple Rose, Dekorationen für Hochzeiten und andere freudige Anlässe, Kränze für Trauerfeiern – alles muss in Farbe und Form harmonisch gebunden, gesteckt und arrangiert werden.Für den Erfolg setzt das Team von Krönis Blumen an der Spitalgasse 8 in St.Gallen auf Ideenaustausch und Inspirationen in der Natur und Garten. Für einen möglichst reibungslosen Tagesablauf hat das Team freie Hand in der Gestaltung der Arbeit. Jedes Detail wird minuziös gepflegt, so dass ein Klima, in welchem Kundenwünsche bestmöglich erfüllt werden können, entsteht.	["//www.local.ch/images/bp/localplace-images/5b/5b1ed9ff2eae27fea6aa67182ad37740d395cb0a/img-2.jpg","//www.local.ch/images/bp/localplace-images/63/6300793f4c4ed3a60b7429805f5d9e93b35110b0/img-1.jpg","//www.local.ch/images/bp/localplace-images/d4/d43cbda78f764acb9ff25ad0a481a1740bc2f802/img-3.jpg"]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nursery/Blumen-Tschopp-AG-WDeXCC1JeztZ1ZxJP1I4uw?dwhat=florist&dwhere=st.+gallen	Blumen Tschopp AG	Feldlistrasse 11	 9000 St. Gallen	071 277 59 27	www.blumen-tschopp.ch		47.421682	9.356022		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Floral-arrangements/Blumen-Pfister-VjYfnqVGPY8xQTqYv6TeNQ?dwhat=florist&dwhere=st.+gallen	Blumen Pfister	Röschstrasse 17a	 9000 St. Gallen	071 244 57 31	www.blumenpfister.ch		47.431895	9.40098	Seit bald 70 Jahren sind wir Ihr Blumenfachgeschäft in der Stadt St. Gallen. Wir erfüllen Ihre Blumenwünsche mit Freundlichkeit, Kreativität und langjähriger Erfahrung. Wir verbinden das Wissen und die Erfahrung aus all den Jahren mit dem heutigen Zeitgeist. Für alle Blumenliebhaber die Innovation, Ideen und Qualität zu schätzen wissen, sind wir der richtige Ansprechpartner.	["//www.local.ch/images/bp/info-image-ad/cc/cc828fc5e17195f8ea277d4cdc3e82e3840d1a2b/upload1.jpg"]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Blumen-Lachen-Smi8SE7EA0hURmofVUR9_w?dwhat=florist&dwhere=st.+gallen	Blumen Lachen	Zürcher Strasse 33	 9000 St. Gallen	071 278 66 56	www.blumenlachen.ch		47.419245	9.354371		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9010/Florist/Blumen-Ginkgo-El3N_qsNdCAjsN5f3WHzLQ?dwhat=florist&dwhere=st.+gallen	Blumen Ginkgo	Guisanstrasse 93	 9010 St. Gallen	071 244 13 13	www.ginkgoblumen.ch		47.439446	9.379524		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Creativ-Floristik-1_JUCJz-MrETJ4jpe2Wt9A?dwhat=florist&dwhere=st.+gallen	Creativ Floristik	Davidstrasse 18	 9000 St. Gallen	071 222 11 89	www.creativ-floristik.ch		47.420887	9.370284		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Florist/Blumen-Viola-XpagUuGhT1ZhcsHxatPqYw?dwhat=florist&dwhere=st.+gallen	Blumen Viola	Kesselhaldenstrasse 23	 9016 St. Gallen	071 503 23 23	www.violaflowers.ch		47.440347	9.402326		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Blumen-Diener-HNw8zaLDTAC442Y-dc61ew?dwhat=florist&dwhere=st.+gallen	Blumen Diener	Burggraben 16	 9000 St. Gallen	071 222 55 11			47.425427	9.378562		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Wedding/Bijou-Fleur-k-x3gRasAdy4qssO7y-Q2g?dwhat=florist&dwhere=st.+gallen	Bijou-Fleur	Langgasse 16	 9008 St. Gallen	071 244 85 75			47.434828	9.385574		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Blume-3000-AG-fKQxoLAaIBK_99jkiZSoVA?dwhat=florist&dwhere=st.+gallen	Blume 3000 AG	Bahnhofplatz	 9000 St. Gallen	071 222 46 54			47.422541	9.36931		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Blumen-Irene-1J81KMGZTD1ukhveTq1L1g?dwhat=florist&dwhere=st.+gallen	Blumen Irène	St. Georgen-Strasse 42	 9000 St. Gallen	071 222 76 22			47.419336	9.379613		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Florist/Blumen-vom-Lerchenfeld-xYGKBeFJK_qzIgC82aEZGw?dwhat=florist&dwhere=st.+gallen	Blumen vom Lerchenfeld	Zürcher Strasse 204	 9014 St. Gallen	071 277 72 77			47.412699	9.33611		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Florist/Blumenatelier-Moni-Koster-1Vh5jcULCJEKk_sT_OYp6A?dwhat=florist&dwhere=st.+gallen	Blumenatelier Moni Koster	Bernhardswiesstrasse 20	 9014 St. Gallen	071 535 36 00			47.407944	9.340817		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Ginger-Flower-by-Lars-Brunner-K3Ls580aBtjRuYLYBZLu5w?dwhat=florist&dwhere=st.+gallen	Ginger Flower by Lars Brunner	Grossacker-Zentrum, Rorschacher Strasse 152	 9000 St. Gallen	071 245 13 13			47.431014	9.395604		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Events/yeoon-grunesatelier-33RKxPEm1_UVpeWSGIEASw?dwhat=florist&dwhere=st.+gallen	yeoon grünesatelier	Davidstrasse 46	 9000 St. Gallen	078 848 27 26			47.419526	9.366682		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/Teufen-AR/9053/Florist/Blumen-Aphrodisia-Blutendufte-und-Erdenzauber-eIG07Sh_V2d3I-y7bX6QMQ?dwhat=florist&dwhere=st.+gallen	Blumen Aphrodisia Blütendüfte und Erdenzauber	Hauptstrasse 21	 9053 Teufen AR	071 333 52 53			47.390865	9.380443		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/Herisau/9100/Florist/BLUMEN-GALERIE-XVYlGWQIELsz8CTZvroqgA?dwhat=florist&dwhere=st.+gallen	BLUMEN GALERIE	Platz 12	 9100 Herisau	071 351 77 07			47.385731	9.278624		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/Gais/9056/Florist/Blumentrog-wdEM7170aGLLAtCIgdDOKQ?dwhat=florist&dwhere=st.+gallen	Blumentrog	Rotbach 4	 9056 Gais	071 344 30 88			47.359276	9.445192		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/Andwil-SG/9204/Florist/Brandle-Gartenbau-AG-Brandle-Blumen-GmbH-v4mor0uYNWf4xZr-dXiUlw?dwhat=florist&dwhere=st.+gallen	Brändle Gartenbau AG & Brändle Blumen GmbH	Grüenaustrasse 2	 9204 Andwil SG	071 385 31 81			47.440657	9.264318		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/Wittenbach/9300/Florist/Kappelhof-Gartnerei-TSlUjDYsBer6RmzaFq7paw?dwhat=florist&dwhere=st.+gallen	Kappelhof Gärtnerei	Kappelhof	 9300 Wittenbach	071 290 15 80			47.460222	9.398549		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/Buhler/9055/Florist/Keller-Emil-Trankjaer-qecPSItpS6dZ39YvTbcUKQ?dwhat=florist&dwhere=st.+gallen	Keller Emil (-Trankjaer)	Dorfstrasse 106	 9055 Bühler	071 793 17 54			47.373815	9.417039		[]	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/Zug/6300/Greeting-cards/Telegramme-und-Blumen-v3pN005G_s9ZKjFXrAlvPg?dwhat=florist&dwhere=st.+gallen	Telegramme und Blumen	Poststrasse 6	 6300 Zug	0800 83 02 37			47.168692	8.516436		[]	
