cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Ryser-Optik-AG-EkEe4kSag8NwvsnOjXAR4Q?dwhat=optician&dwhere=st.+gallen	Ryser Optik AG	Metzgergasse 2 /Marktplatz	 9000 St. Gallen	071 222 31 23	www.ryseroptometrie.ch	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optometry/Gross-Optik-AG-pEvt7c-5KedOf8L7ENfd7Q?dwhat=optician&dwhere=st.+gallen	Gross Optik AG	Shopping Silberturm, Rorschacher Strasse 152	 9000 St. Gallen	071 244 30 10	www.gross-optik.ch	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/VISILAB-St-Gallen-AG-4ows4tkj_SInTEfo46Fs3g?dwhat=optician&dwhere=st.+gallen	VISILAB St. Gallen AG	Neugasse 40	 9000 St. Gallen	071 223 12 21	www.visilab.ch	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Optician/VISILAB-Shopping-Arena-AG-Mme_2hgRam4A5BivBZU23Q?dwhat=optician&dwhere=st.+gallen	VISILAB Shopping Arena AG	Stadion St. Gallen, Zürcher Strasse 464	 9015 St. Gallen	071 310 26 50	www.visilab.ch	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Kulling-Optik-Brillen-und-Contactlinsen-memKp2fbTGTSKdBz-e9LPA?dwhat=optician&dwhere=st.+gallen	Külling Optik Brillen und Contactlinsen	Poststrasse 17	 9000 St. Gallen	071 222 86 66	www.kuelling.ch	
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Bienz-Optik-AG-MxEX4Rp3MEQ87a_neobVeg?dwhat=optician&dwhere=st.+gallen	Bienz Optik AG	Kornhausstrasse 26	 9000 St. Gallen	071 223 88 44		
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Brillen-Institut-GmbH-aNl6FJMzMdS7coS2gOYtAQ?dwhat=optician&dwhere=st.+gallen	Brillen-Institut GmbH	Neugasse 48 /Ob. Graben 15	 9000 St. Gallen	071 222 42 62		
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Glasses-and-contact-lenses/Fielmann-AG-xGwdoA6IGyAxe4nAO0opQw?dwhat=optician&dwhere=st.+gallen	Fielmann AG	Multergasse 8	 9000 St. Gallen	071 220 89 20		
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Kalthoff-Bernd-Augenoptik-uCsVjRA2cYuRqyfp8Gctng?dwhat=optician&dwhere=st.+gallen	Kalthoff Bernd Augenoptik	Webergasse 19	 9000 St. Gallen	071 222 07 34		
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Glasses-and-contact-lenses/Platzhirsch-Optik-GmbH-93y2VStp6tv1vtWcgZmbFg?dwhat=optician&dwhere=st.+gallen	Platzhirsch Optik GmbH	Vadianstrasse 15	 9000 St. Gallen	071 230 02 02		
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Viegener-Optik-AG-4CvEkEFh_cN08txmKADkaQ?dwhat=optician&dwhere=st.+gallen	Viegener Optik AG	Schmiedgasse 35	 9000 St. Gallen	071 222 11 44		
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Walser-Optiker-AG-SwQMiytVajCdkF1uafHbPQ?dwhat=optician&dwhere=st.+gallen	Walser Optiker AG	Bahnhofstrasse 2	 9000 St. Gallen	071 222 14 14		
st. gallen	optician	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Optician/Walz-Optik-AG-qrHfiEiHt6lilpKRUVJyOg?dwhat=optician&dwhere=st.+gallen	Walz Optik AG	Marktplatz 24	 9000 St. Gallen	071 222 63 01		
