cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9011/New-and-used-cars/Bach-Garage-Gschwend-AG-XCOSVtiZ1Ymwo_zRV2agmw?dwhat=garrage&dwhere=st.+gallen	Bach-Garage Gschwend AG	St. Georgen-Strasse 162	 9011 St. Gallen	071 223 12 12	www.bachgarage-sg.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Garage/Aumo-Garage-AG-f5YAwCA_XOqAkOFx0oCh8Q?dwhat=garrage&dwhere=st.+gallen	Aumo Garage AG	St. Jakob-Strasse 63	 9000 St. Gallen	071 245 09 23	www.aumogarage.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/New-and-used-cars/Bild-Garage-AG-KdUh7tsV5E4Ebu8PcVIMww?dwhat=garrage&dwhere=st.+gallen	Bild-Garage AG	Zürcher Strasse 431	 9015 St. Gallen	071 311 12 33	www.bildgarage.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Garage/Auto-Zentrum-West-AG-V2PyfSOSm4SaFT9mcNYOvQ?dwhat=garrage&dwhere=st.+gallen	Auto-Zentrum West AG	Piccardstrasse 1	 9015 St. Gallen	071 311 66 66	www.az-west.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Garage/LIGA-Lindengut-Garage-AG-ZIFSK4kSHrvFMjT9m0B-Og?dwhat=garrage&dwhere=st.+gallen	LIGA Lindengut- Garage AG	Fürstenlandstrasse 102	 9014 St. Gallen	071 274 55 33	www.liga.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Garage/INFINITI-Center-St-Gallen-8yqNoBbLHwdrUeiUJZLp5A?dwhat=garrage&dwhere=st.+gallen	INFINITI Center St. Gallen	Rorschacher Strasse 284	 9016 St. Gallen	071 282 10 11	www.infiniti-stgallen.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Garage/Emil-Frey-AG-EKcXiojQpizTTO__RiqCTA?dwhat=garrage&dwhere=st.+gallen	Emil Frey AG	Molkenstrasse 3-7	 9000 St. Gallen	071 228 64 64	www.emilfrey.ch/autopark	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Garage/Bruggen-Ruhberg-Garage-AG-0wSqspPe1dwcLgLtLi8X3g?dwhat=garrage&dwhere=st.+gallen	Bruggen Ruhberg Garage AG	Ruhbergstrasse 34	 9000 St. Gallen	071 277 08 27	www.peugeot-stgallen.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Garage/Auto-Zollikofer-AG-BTZQgYxgRCF3Tor-ryF80A?dwhat=garrage&dwhere=st.+gallen	Auto Zollikofer AG	Rorschacher Strasse 284	 9016 St. Gallen	071 282 10 20	www.autozollikofer.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/Abtwil-SG/9030/Tires-tire-service/Agom-Pirelli-Tyre-Suisse-SA-GLMrvzRC-UVpJ6GHVbENng?dwhat=garrage&dwhere=st.+gallen	Agom Pirelli Tyre (Suisse) SA)	Bildstrasse 8	 9030 Abtwil SG	071 313 90 60	www.pneu-aeple.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Garage/Baldegger-Automobile-AG-sYCgghdFDswq8DXHlxZU6w?dwhat=garrage&dwhere=st.+gallen	Baldegger Automobile AG	Erlachstrasse 3	 9014 St. Gallen	071 274 80 40	www.baldegger.com	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Garage/Christian-Jakob-AG-t5AYjTqOijkiMrTK8CoSNg?dwhat=garrage&dwhere=st.+gallen	Christian Jakob AG	Schuppisstrasse 9	 9016 St. Gallen	071 282 49 69	www.christianjakob.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Wrecking-service/Bildweihergarage-AG-q6jUnm-9zbHMXjONj1AtsQ?dwhat=garrage&dwhere=st.+gallen	Bildweihergarage AG	Bildweiherstrasse 5	 9015 St. Gallen	071 311 38 38	www.bildweiher-garage.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Car-dealership/WOLGENSINGER-AG-txsqthjjk7kFfvIW2FB2JA?dwhat=garrage&dwhere=st.+gallen	WOLGENSINGER AG	Fürstenlandstrasse 25	 9000 St. Gallen	071 277 10 88	www.wolgensinger.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9011/Garage/Geissler-Carrosserie-GmbH-4OnaY3Tc1Eduae91Qq5rVg?dwhat=garrage&dwhere=st.+gallen	Geissler Carrosserie GmbH	St. Georgen-Strasse 170C	 9011 St. Gallen	071 222 73 05	www.carrosserie-geissler.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Car-body-work/Weber-Heinz-AG-Carrosserie-0h5qpT-AS9OWnNuPWMbvMA?dwhat=garrage&dwhere=st.+gallen	Weber Heinz AG Carrosserie	Zürcher Strasse 246	 9014 St. Gallen	071 277 35 77	www.carrosserie-heinzweber.ch	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Tires-tire-service/Pneu-Best-GmbH-eM8wE8VASB5LnD-vgBUeGg?dwhat=garrage&dwhere=st.+gallen	Pneu Best GmbH	Langgasse 2	 9008 St. Gallen	071 245 25 20		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Garage/Garage-Masis-Margos-dVDRTRRKhmsToQgzu5wGgw?dwhat=garrage&dwhere=st.+gallen	Garage Masis Margos	Langgasse 79	 9008 St. Gallen	071 245 70 10		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9012/Pesticides/Kreienbuhl-Schadlingsbekampfung-VVbWXtHKz0reKK5o4YAK5g?dwhat=garrage&dwhere=st.+gallen	Kreienbühl - Schädlingsbekämpfung	Oberhofstettenstrasse 10A	 9012 St. Gallen	071 278 56 48	Go to website	
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Car-Leasing/A1-Garage-GmbH-kOVLXxuSGPDqZeDQMEh36g?dwhat=garrage&dwhere=st.+gallen	A1 Garage GmbH	Langgasse 152	 9008 St. Gallen	071 222 50 20		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Garage/Auspuff-Luthi-GmbH-mbjvXRIlot9NMNiKZOToOw?dwhat=garrage&dwhere=st.+gallen	Auspuff Lüthi GmbH	Gartenstrasse 3	 9000 St. Gallen	071 222 38 80		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Garage/Autocenter-Winkeln-GmbH-HtrDBwOKKe7dRI5gsxTwbA?dwhat=garrage&dwhere=st.+gallen	Autocenter Winkeln GmbH	Ikarusstrasse 2	 9015 St. Gallen	071 310 08 40		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Garage/Autoklarer-AG-lBmBh93w2mBo9-ssMzV-EQ?dwhat=garrage&dwhere=st.+gallen	Autoklarer AG	Gröblistrasse 1416	 9014 St. Gallen	071 277 77 20		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Garage/Baumgartner-Martinsbrugg-Garage-AG-DgzWWEY355c1iisf8Rp2-A?dwhat=garrage&dwhere=st.+gallen	Baumgartner Martinsbrugg-Garage AG	Martinsbruggstrasse 107	 9016 St. Gallen	071 288 44 66		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Garage/Bodan-Garage-AG-AZlm-GnvedLQUHz7ebEetA?dwhat=garrage&dwhere=st.+gallen	Bodan-Garage AG	Sternackerstrasse 1	 9000 St. Gallen	071 222 52 22		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Garage/Burgeck-Garage-XLfVopZ0o0eez6Jt6rznBA?dwhat=garrage&dwhere=st.+gallen	Burgeck Garage	Burgstrasse 85	 9000 St. Gallen	071 278 21 41		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Garage/Capitol-Garage-7sw_mY3FdwXk8BUzs7L4ig?dwhat=garrage&dwhere=st.+gallen	Capitol-Garage	Rorschacher Strasse 239	 9016 St. Gallen	071 288 14 44		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Garage/Cechmanek-J-yEniulgY2-F6OlRaCNroYA?dwhat=garrage&dwhere=st.+gallen	Cechmanek J.	Ikarusstrasse 2	 9015 St. Gallen	071 310 08 40		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Garage/Die-Oldiewerkstatt-Ax8XvXfMHTAKGvSCIZj8vg?dwhat=garrage&dwhere=st.+gallen	Die - Oldiewerkstatt	Langgasse 106	 9008 St. Gallen	071 277 21 57		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Garage/Garage-Carosserie-Bronnenhuber-2Y9nb42lPrhH1lde8WYTMQ?dwhat=garrage&dwhere=st.+gallen	Garage Carosserie Bronnenhuber	Oberschachenstrasse 11	 9016 St. Gallen	071 288 17 70		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Garage/Garage-Carstyle-Z3j-HUidMoJEyHEIdjr0OA?dwhat=garrage&dwhere=st.+gallen	Garage-Carstyle	AVIA Tankstelle, Langgasse 51	 9008 St. Gallen	071 888 80 80		
st. gallen	garrage	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Garage/Garage-Vendola-p2hABEGHzQUovUlt1zhiLw?dwhat=garrage&dwhere=st.+gallen	Garage Vendola	Meisenstrasse 12	 9000 St. Gallen	071 222 19 75		
