cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Hotel/Hotel-Sporting-S8WI0rJ0Nh3ppSOT6-s8kQ?dwhat=hotel&dwhere=st.+gallen	Hotel Sporting	Straubenzellstrasse 19	 9014 St. Gallen	071 272 30 30	www.hotel-sporting.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Hotel-Metropol-Z5BxRnHNf5pFKbRG2A2sAA?dwhat=hotel&dwhere=st.+gallen	Hotel Metropol	Bahnhofplatz 3	 9000 St. Gallen	071 228 32 32	www.hotel-metropol.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Restaurant/Am-Spisertor-2ucFB671UfV0C-Tpl9uQxg?dwhat=hotel&dwhere=st.+gallen	Am Spisertor	Moosbruggstrasse 1	 9000 St. Gallen	071 228 82 83	www.spisertor.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Dom-OlKgWnGObHoDEmK7TrfIDg?dwhat=hotel&dwhere=st.+gallen	Dom	Webergasse 22	 9000 St. Gallen	071 227 71 71	www.hoteldom.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Schwanen-dwET6GfSXiWf5wPhlyD7CQ?dwhat=hotel&dwhere=st.+gallen	Schwanen	Webergasse 23	 9000 St. Gallen	071 222 65 62		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Elite-Garni-HTwknc7KQX7sj72k0vuSBg?dwhat=hotel&dwhere=st.+gallen	Elite Garni	Metzgergasse 9-11	 9000 St. Gallen	071 227 99 33	www.hotel-elite.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Hotel/Hotel-one66-AG-Rwe6g5qFviFauFhfORpwxA?dwhat=hotel&dwhere=st.+gallen	Hotel one66 AG	Alte Bildstrasse 6	 9015 St. Gallen	071 314 71 71	www.one66.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Gallo-zBJuKr-yvfK4vvEkf4WTnQ?dwhat=hotel&dwhere=st.+gallen	Gallo	St. Jakob-Strasse 62	 9000 St. Gallen	071 242 71 71	www.hotel-gallo.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Weisses-Kreuz-BknGBAd0AImruHojSUKo_A?dwhat=hotel&dwhere=st.+gallen	Weisses Kreuz	Engelgasse 9	 9000 St. Gallen	071 223 28 43	www.weisseskreuz-sg.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Einstein-Congress-Hotel-Spa-2tqJuozJ6934EjFmgT25Hg?dwhat=hotel&dwhere=st.+gallen	Einstein Congress Hotel Spa	Berneggstrasse 2	 9000 St. Gallen	071 227 55 55		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Hotel/Hotel-Eastside-cbB-GSBKYaMec9ZGuy6JPw?dwhat=hotel&dwhere=st.+gallen	Hotel Eastside	Langgasse 151	 9008 St. Gallen	071 511 31 21		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9015/Hotel/Hotel-Newstar-Z3WULv4aRYpr-Gnr5Op4YQ?dwhat=hotel&dwhere=st.+gallen	Hotel Newstar	Breitfeldstrasse 9	 9015 St. Gallen	071 230 20 20		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Am-Ring-Y1K7fvaHUGpsxt30clqUGQ?dwhat=hotel&dwhere=st.+gallen	Am Ring	Unterer Graben 9	 9000 St. Gallen	071 223 27 47		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Best-Western-Hotel-Walhalla-X7rNRJzkN4GsQkDX3kToEA?dwhat=hotel&dwhere=st.+gallen	Best Western Hotel Walhalla	Bahnhofplatz, Poststrasse 27	 9000 St. Gallen	071 228 28 00		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Hotel-Bar-Kranzlin-cBoyHTGc3HyoWE3Ow5N7yA?dwhat=hotel&dwhere=st.+gallen	Hotel Bar Kränzlin	Augustinergasse 1	 9000 St. Gallen	071 534 84 14		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Hotel-Vadian-Garni-UBeO3TluMuxhQMrj_sghBg?dwhat=hotel&dwhere=st.+gallen	Hotel Vadian Garni	Gallusstrasse 36	 9000 St. Gallen	071 228 18 78		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Radisson-Blu-Hotel-CcNAsd87MYnRMGnRwyD9bg?dwhat=hotel&dwhere=st.+gallen	Radisson Blu Hotel	St. Jakob-Strasse 55	 9000 St. Gallen	071 242 12 12		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Apartment-hotel/Sorell-Hotel-City-Weissenstein-AmL8RkB3a7qhEXXaIEQseQ?dwhat=hotel&dwhere=st.+gallen	Sorell Hotel City Weissenstein	Davidstrasse 22	 9000 St. Gallen	071 228 06 28		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hotel/Walhalla-Best-Western-60I-tRVOe2NLrpMBKSTCWA?dwhat=hotel&dwhere=st.+gallen	Walhalla (Best Western)	Bahnhofplatz, Poststrasse 27	 9000 St. Gallen	071 228 28 00		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Restaurant/O-Premier-Hotel-Metropol-dexPmBcTGzjmThgIC2MMsg?dwhat=hotel&dwhere=st.+gallen	O Premier Hotel Metropol	Bahnhofplatz 3	 9000 St. Gallen	071 228 32 32	www.hotel-metropol.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Restaurant/Brasserie-Hotel-Walhalla-GcN1XqSUwt76yDx2KwOYUw?dwhat=hotel&dwhere=st.+gallen	Brasserie, Hotel Walhalla	Bahnhofplatz, Poststrasse 27	 9000 St. Gallen	071 228 28 08		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Restaurant/Restaurant-Hotel-Friedburg-izB1WqNDcMIalhbNWH4-qw?dwhat=hotel&dwhere=st.+gallen	Restaurant Hotel Friedburg	Burgstrasse 72	 9000 St. Gallen	071 277 10 93		
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Guesthouse-furnishing/Kreis-AG-Gastro-und-Hotelbedarf-fJ1YHaMG9aP2g-BWCU9X0g?dwhat=hotel&dwhere=st.+gallen	Kreis AG Gastro- und Hotelbedarf	Schachenstrasse 9	 9016 St. Gallen	071 288 03 13	www.kreisgastro.ch	
st. gallen	hotel	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Restaurant/Walhalla-Hotel-Walhalla-vJgkhAln6OwOwYYM9iImKQ?dwhat=hotel&dwhere=st.+gallen	Walhalla, Hotel Walhalla	Bahnhofplatz, Poststrasse 27	 9000 St. Gallen	071 228 28 18		
