cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Cosmetic-institute/La-Boheme-Kosmetikstudio-10QK5rwk_Nz4atQKtkv5bw?dwhat=nails&dwhere=st.+gallen	La Bohème Kosmetikstudio	Rorschacher Strasse 110	 9000 St. Gallen	071 244 44 78	www.laboheme-kosmetik.ch	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Hairdresser/Hairstyling-Benz-9c5kJums92IW88y6kIAbHg?dwhat=nails&dwhere=st.+gallen	Hairstyling Benz	Zürcher Strasse 236	 9014 St. Gallen	071 277 29 26		
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hairdresser/Coiffure-Nagelstudio-TERESA-BONAZZA-E2QCvbeeQnZgBGkAvtoO9Q?dwhat=nails&dwhere=st.+gallen	Coiffure- & Nagelstudio TERESA BONAZZA	Engelgasse 5	 9000 St. Gallen	071 222 88 34	www.coiffure-teresa.ch	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Cosmetic-Nail-Care-QPJW8Ira1vJsti9vpSkLjw?dwhat=nails&dwhere=st.+gallen	Cosmetic & Nail Care	Zürcher Strasse 26	 9000 St. Gallen	071 278 88 77	www.cosmetic-nailcare.ch	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Nail-cosmetics/Laguardia-Miriam-Spitaleri-tNNTa4zhLQ0LYAd8Q7f3fQ?dwhat=nails&dwhere=st.+gallen	Laguardia Miriam (-Spitaleri)	Hinterberg 24	 9014 St. Gallen	078 609 40 52		
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Nails-by-Iris-MNoTVEnNZdldr1cquTMCeg?dwhat=nails&dwhere=st.+gallen	Nails by Iris	Wiesenstrasse 6	 9000 St. Gallen	078 859 26 58		
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Hairdresser/Reduit-Haute-Coiffure-oDyLfb80HulA0IaJSz1apA?dwhat=nails&dwhere=st.+gallen	Reduit Haute Coiffure	Metzgergasse 10	 9000 St. Gallen	071 222 51 10	www.steinmann-ag.ch	
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Angel-Nails-Beauty-Spa-plW517ON7YyEjkKwTpNI2Q?dwhat=nails&dwhere=st.+gallen	Angel Nails & Beauty Spa	Schmiedgasse 13	 9000 St. Gallen	071 558 45 88		
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Beauty-Corner-Rubin-vO_eazNvfmSwT5j-BOFszA?dwhat=nails&dwhere=st.+gallen	Beauty Corner Rubin	Merkurstrasse 4	 9000 St. Gallen	071 244 44 48		
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Beauty-Nail-Design-_2oBHknHG80E-Wny1qbjbQ?dwhat=nails&dwhere=st.+gallen	Beauty & Nail Design	Adlerbergstrasse 7	 9000 St. Gallen	071 244 88 18		
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Beauty-Place-Cosmetics-Naildesign-3Ko6v7WmlAH7rqZWWORqgQ?dwhat=nails&dwhere=st.+gallen	Beauty Place Cosmetics & Naildesign	Rosenbergstrasse 76	 9000 St. Gallen	071 277 10 07		
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9014/Nail-cosmetics/Cosmetic-Nail-Harmonie-ONMX0dEdPbUGAM91nLW4hg?dwhat=nails&dwhere=st.+gallen	Cosmetic & Nail Harmonie	Zürcher Strasse 235	 9014 St. Gallen	071 277 24 71		
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nail-cosmetics/Fashion-Nails-maZUsxresBtgVp-jbFfClw?dwhat=nails&dwhere=st.+gallen	Fashion Nails	Linsebühlstrasse 41	 9000 St. Gallen	071 220 98 03		
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Hairdresser/Hair-Nails-by-Elif-I-IwMmEEOYaU47MXwawtBA?dwhat=nails&dwhere=st.+gallen	Hair & Nails by Elif	Langgasse 71	 9008 St. Gallen	071 223 22 28		
st. gallen	nails	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Cosmetic-products/HNC-AG-Uq-tmcJX0IEZT6rA00agbw?dwhat=nails&dwhere=st.+gallen	HNC AG	Rorschacher Strasse 152	 9000 St. Gallen	071 282 90 20		
