cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Bluten-und-Blatt-GmbH-kppxwPRlGdO5GnV3a5o6Nw?dwhat=florist&dwhere=st.+gallen	Blüten und Blatt GmbH	Schmiedgasse 26	 9000 St. Gallen	071 223 66 70	www.bluetenundblatt.ch	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Kronis-Blumen-und-Prasente-CHsNmgnrvVmcowT0Nh3p2g?dwhat=florist&dwhere=st.+gallen	Kröni's Blumen und Präsente	Spitalgasse 8	 9000 St. Gallen	071 222 86 10	www.kroenisblumen.ch	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Nursery/Blumen-Tschopp-AG-WDeXCC1JeztZ1ZxJP1I4uw?dwhat=florist&dwhere=st.+gallen	Blumen Tschopp AG	Feldlistrasse 11	 9000 St. Gallen	071 277 59 27	www.blumen-tschopp.ch	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Floral-arrangements/Blumen-Pfister-VjYfnqVGPY8xQTqYv6TeNQ?dwhat=florist&dwhere=st.+gallen	Blumen Pfister	Röschstrasse 17a	 9000 St. Gallen	071 244 57 31	www.blumenpfister.ch	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Blumen-Lachen-Smi8SE7EA0hURmofVUR9_w?dwhat=florist&dwhere=st.+gallen	Blumen Lachen	Zürcher Strasse 33	 9000 St. Gallen	071 278 66 56	www.blumenlachen.ch	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9010/Florist/Blumen-Ginkgo-El3N_qsNdCAjsN5f3WHzLQ?dwhat=florist&dwhere=st.+gallen	Blumen Ginkgo	Guisanstrasse 93	 9010 St. Gallen	071 244 13 13	www.ginkgoblumen.ch	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Creativ-Floristik-1_JUCJz-MrETJ4jpe2Wt9A?dwhat=florist&dwhere=st.+gallen	Creativ Floristik	Davidstrasse 18	 9000 St. Gallen	071 222 11 89	www.creativ-floristik.ch	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9016/Florist/Blumen-Viola-XpagUuGhT1ZhcsHxatPqYw?dwhat=florist&dwhere=st.+gallen	Blumen Viola	Kesselhaldenstrasse 23	 9016 St. Gallen	071 503 23 23	www.violaflowers.ch	
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9000/Florist/Blumen-Diener-HNw8zaLDTAC442Y-dc61ew?dwhat=florist&dwhere=st.+gallen	Blumen Diener	Burggraben 16	 9000 St. Gallen	071 222 55 11		
st. gallen	florist	N/A	http://yellow.local.ch/en/d/St-Gallen/9008/Wedding/Bijou-Fleur-k-x3gRasAdy4qssO7y-Q2g?dwhat=florist&dwhere=st.+gallen	Bijou-Fleur	Langgasse 16	 9008 St. Gallen	071 244 85 75		
