cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Restaurant/Rosalys-Restaurant-Bar-cwoYfOSqISahxaz64nCp6w?dwhat=bar&dwhere=zurich	Rosaly's Restaurant & Bar	Freieckgasse 7	 8001 Zürich	044 261 44 30	www.rosalys.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8004/Restaurant/Caduffs-Wine-Loft-d3Gm9JrlAcJtJhzcWkHPkw?dwhat=bar&dwhere=zurich	Caduff's Wine Loft	Kanzleistrasse 126	 8004 Zürich	044 240 22 55	www.wineloft.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8002/Restaurant/dean-david-ZH-Bleicherweg-GmbH-cAkBYHpHyEhXDTtRO_i_Ow?dwhat=bar&dwhere=zurich	dean & david ZH Bleicherweg GmbH	Bleicherweg 19	 8002 Zürich	043 222 48 45	Go to website	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Bar/Simplon-Bar-xnVm4a6WztQaOzWxoPAv5g?dwhat=bar&dwhere=zurich	Simplon Bar	Schützengasse 16	 8001 Zürich	044 222 19 39	www.simplonbar.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8005/Restaurant/Ambrosi-8U_Ac0JIZIUc22VGR91nIQ?dwhat=bar&dwhere=zurich	Ambrosi	Im Viadukt 25, Viaduktstrasse 37	 8005 Zürich	043 960 36 06	www.ambrosi.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8003/Restaurant/Restaurant-Mesob-s2DtnBPMcl75npBt6KUrMA?dwhat=bar&dwhere=zurich	Restaurant Mesob	Rotachstrasse 33	 8003 Zürich	043 960 02 51	www.mesob-restaurant.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Restaurant/Barfusser-Sushi-Bar-VyCQNaplVMrHYZLWd-FGKA?dwhat=bar&dwhere=zurich	Barfüsser Sushi & Bar	Spitalgasse 14	 8001 Zürich	044 251 40 64	www.barfuesser.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Restaurant/BRG-Bistro-AG-Nua0CQFJJTO3Tw-T99T2Jg?dwhat=bar&dwhere=zurich	BRG Bistro AG	Zinnengasse 7	 8001 Zürich	044 221 94 87		
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8051/Restaurant/Olympic-Lounge-9iq1k0iA4QVeUfUvqSlcQQ?dwhat=bar&dwhere=zurich	Olympic Lounge	Ueberlandstrasse 350	 8051 Zürich	076 449 74 74	www.olympiclounge.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8005/Restaurant/Aubrey-SLTAJZ8tymFJ7MGGpxus1g?dwhat=bar&dwhere=zurich	Aubrey	Schiffbaustrasse 10	 8005 Zürich	044 440 00 20	www.aubrey.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Bar/Madonna-Ristorante-Bar-Club-VqpbvJWuV6Agx2zNC41x1w?dwhat=bar&dwhere=zurich	Madonna Ristorante Bar Club	Löwenstrasse 25	 8001 Zürich	044 210 06 10	www.madonna-zurich.com	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8008/Restaurant/Restaurant-Terzo-r4KmAck-lVr-xefCeFZuYg?dwhat=bar&dwhere=zurich	Restaurant Terzo	Seefeldstrasse 214	 8008 Zürich	043 488 66 25	www.restaurant-terzo.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8047/Restaurant/Minimum-gxdGwhzND7jaHguVaRgVUQ?dwhat=bar&dwhere=zurich	Minimum	Flüelastrasse 29	 8047 Zürich	043 321 86 92	www.minimum.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8002/Restaurant/Fork-Bottle-HSnQOLr2cBetMgaLuu5WFA?dwhat=bar&dwhere=zurich	Fork & Bottle	Allmendstrasse 20	 8002 Zürich	044 201 18 17	www.forkandbottle.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Restaurant/Aurora-Gastro-AG-PjmlS-FnhqgQU0p3UU8kfw?dwhat=bar&dwhere=zurich	Aurora Gastro AG	Bahnhofstrasse 61	 8001 Zürich	044 210 03 18		
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Catering/LaZoupa-zLmvFLCJ4u45LKt5B0nQow?dwhat=bar&dwhere=zurich	LaZoupa	Torgasse 5	 8001 Zürich	043 542 46 86	www.lazoupa.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8048/Restaurant/The-Raffles-Karaoke-Restaurant-Bar-40xY8aRYsRao7MVkAyRigw?dwhat=bar&dwhere=zurich	The Raffles Karaoke, Restaurant & Bar	Badenerstrasse 530	 8048 Zürich	044 401 33 50	yellow.local.ch/0444013350	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hotel/Storchen-Zurich-zOVQdAlNAed86Yheh6wIAw?dwhat=bar&dwhere=zurich	Storchen Zürich	Weinplatz 2	 8001 Zürich	044 227 27 27	www.storchen.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8002/Hotel/Sheraton-Zurich-Neues-Schloss-Hotel-ArabellaHotelbetriebeAG-JgdeMQfZUvQFPmyfCyUkiw?dwhat=bar&dwhere=zurich	Sheraton Zürich Neues Schloss Hotel, ArabellaHotelbetriebeAG	Stockerstrasse 17	 8002 Zürich	044 202 66 02	www.sheratonneuesschloss.com	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8005/Bar/Acapulco-OnMtzdM-N-FraNukGY1UNA?dwhat=bar&dwhere=zurich	Acapulco	Neugasse 56	 8005 Zürich	044 272 66 88	www.acapulco.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Bar/Regenbogen-Bar-Iawvt6K4UYoWzw1DQnWW1Q?dwhat=bar&dwhere=zurich	Regenbogen Bar	Rosengasse 6	 8001 Zürich	043 300 99 88	www.regenbogenbar.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8008/Restaurant/Blaue-Ente-N-cXLa7bitDFMl6bsrv6AQ?dwhat=bar&dwhere=zurich	Blaue Ente	Mühle Tiefenbrunnen, Seefeldstrasse 223	 8008 Zürich	044 388 68 40	www.blaue-ente.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8004/Restaurant/Certo-JK_zVE1GSJnwnYEyoGNGaA?dwhat=bar&dwhere=zurich	Certo	Strassburgstrasse 5	 8004 Zürich	044 241 04 04	www.certo.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Nightclub/Imperium-8Y3gShJUzYtTzENz5fTYbA?dwhat=bar&dwhere=zurich	Imperium	Stüssihofstatt 17	 8001 Zürich	044 252 28 15	www.nightclub-imperium.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8005/Restaurant/Brisket-Southern-BBQ-Bar-v1aEzMNgiK9poJM1AFMkMw?dwhat=bar&dwhere=zurich	Brisket Southern BBQ & Bar	Pfingstweidstrasse 6	 8005 Zürich	044 241 20 20	www.brisket.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8047/Bar/Easy-Bar-Ug0vTZFiLWg9UriOFYl-Xg?dwhat=bar&dwhere=zurich	Easy Bar	Freilagerstrasse 1	 8047 Zürich	043 211 00 44	www.easy-bar.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8045/Grill-Barbecue/Binz-Kunz-Oqdk8KMBl-YD-iVdLmdIwg?dwhat=bar&dwhere=zurich	Binz & Kunz	Räffelstrasse 17	 8045 Zürich	079 293 33 29	www.binzundkunz.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Restaurant/George-Bar-Grill-E2FE14_t_A8FFW9_xUkXBQ?dwhat=bar&dwhere=zurich	George Bar & Grill	Gessnerallee 5	 8001 Zürich	044 444 50 60	www.george-grill.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8004/Restaurant/Donde-Luis-AoOkoCRZ9SAeam0tWRrOgQ?dwhat=bar&dwhere=zurich	Donde Luis	Ankerstrasse 108	 8004 Zürich	043 811 46 46	www.dondeluis.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Bar/Rive-Gauche-jspjVLJOSl29aDi3VNmxVw?dwhat=bar&dwhere=zurich	Rive Gauche	Ecke Tal-/, Börsenstrasse	 8001 Zürich	044 220 50 60	www.agauche.ch	
zurich	bar	N/A	http://yellow.local.ch/en/d/Zurich/8001/Casinos/Swiss-Casinos-Zurich-AG-vxuvLJYnKHcAkQ_NLSDNYg?dwhat=bar&dwhere=zurich	Swiss Casinos Zürich AG	Gessnerallee 3- 5	 8001 Zürich	043 330 30 30	www.swisscasinos.ch	
