cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8001/Restaurant/Restaurant-Mohini-y3NVvrE8Gd0Ua1xQswyEkg?dwhat=catering&dwhere=zurich	Restaurant Mohini	Weinbergstrasse 15	 8001 Zürich	044 252 52 11	www.mohini.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8045/Catering-service/Shinsen-AG-YK-nkUw08kzHuVtUw_iPcw?dwhat=catering&dwhere=zurich	Shinsen AG	Staffelstrasse 10	 8045 Zürich	044 451 66 77	www.shinsen.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8001/Restaurant/SAIGON-jKzC1Qed4kQ5DZZzxZT9WA?dwhat=catering&dwhere=zurich	SAIGON	Sihlstrasse 97	 8001 Zürich	044 210 05 85	www.saigon.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8004/Restaurant/ZAATAR-pgqO7fOemFzKnGLypCkobA?dwhat=catering&dwhere=zurich	ZAATAR	Brauerstrasse 78	 8004 Zürich	043 243 80 33	www.zaatar.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8004/Restaurant/Keo-Inn-Thai-Restaurant-UZyJQlGJuEhyQTgL-hGosA?dwhat=catering&dwhere=zurich	Keo Inn Thai-Restaurant	Zwinglistrasse 39	 8004 Zürich	044 242 69 70	www.thai-restaurant-keo-inn.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8001/Catering/LaZoupa-zLmvFLCJ4u45LKt5B0nQow?dwhat=catering&dwhere=zurich	LaZoupa	Torgasse 5	 8001 Zürich	043 542 46 86	www.lazoupa.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8005/Restaurant/The-Lemon-Grass-Thai-Restaurant-6eJmCM4GkovHY5spX938_A?dwhat=catering&dwhere=zurich	The Lemon Grass Thai Restaurant	Limmatstrasse 199	 8005 Zürich	044 554 60 90	www.the-lemon-grass.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8006/Restaurant/Chetis-More-than-curry-cEnIOSYJUmdMW1pw7H5hyQ?dwhat=catering&dwhere=zurich	Cheti's - More than curry	Rigiplatz 1	 8006 Zürich	044 370 23 23	www.chetis.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8004/Restaurant/Don-Leone-vnVHV4n8grH1HnO_WI6Pow?dwhat=catering&dwhere=zurich	Don Leone	Bäckerstrasse 31	 8004 Zürich	044 241 01 01	www.donleone.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8003/Restaurant/FiveSpice-Thai-Restaurant-GCsfT-eoUU2G4FOiRmLAHg?dwhat=catering&dwhere=zurich	FiveSpice Thai Restaurant	Zweierstrasse 106	 8003 Zürich	044 450 13 85	www.fivespices.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8006/Takeout/The-Lemon-Grass-Thai-Take-Away-Catering-rZiYjmR-Y7GZ0bTV0A0g2g?dwhat=catering&dwhere=zurich	The Lemon Grass Thai Take Away & Catering	Universitätstrasse 31	 8006 Zürich	044 554 61 88	www.the-lemon-grass.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8047/Catering/Kochwerkstatt-GmbH-eJybJkIC_8YwaH5Jivt-kQ?dwhat=catering&dwhere=zurich	Kochwerkstatt GmbH	Langgrütstrasse 117	 8047 Zürich	044 493 05 33	www.kochwerkstatt.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8003/Grocery-store/Balasso-Betulius-GmbH-mDkQyJsiMdAt2c8F81GXNA?dwhat=catering&dwhere=zurich	Balasso & Betulius GmbH	Gertrudstrasse 68	 8003 Zürich	044 451 89 70	www.balasso-und-betulius.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8057/Catering-service/Catering-Zurich-Xb9LBiq1fRhXPxOq3dQCWQ?dwhat=catering&dwhere=zurich	Catering Zürich	Winterthurerstrasse 301	 8057 Zürich	043 810 09 12	www.sarys.ch	
zurich	catering	N/A	http://yellow.local.ch/en/d/Zurich/8003/Catering/Maiergrill-AG-EUHPfcGumrCOnbU2pQJzgw?dwhat=catering&dwhere=zurich	Maiergrill AG	Weststrasse 138	 8003 Zürich	0878 808 878	www.maiergrill.com	
