cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	kebab	N/A	http://yellow.local.ch/en/d/Zurich/8002/Takeout/Safran-Take-Away-und-Shisha-Lounge-YIbja6T4nbPYBpfuNY-9XA?dwhat=kebab&dwhere=zurich	Safran Take Away und Shisha Lounge	Bederstrasse 94	 8002 Zürich	044 281 95 00	www.facebook.com/SafranShishaLounge	
zurich	kebab	N/A	http://yellow.local.ch/en/d/Zurich/8046/Pizza-Take-Away/New-Point-Pizza-Kurier-hrMVkO55uhe4DAxX5rKSeg?dwhat=kebab&dwhere=zurich	New Point Pizza Kurier	Wehntalerstrasse 634	 8046 Zürich	044 371 16 16	www.pizzakurier-newpoint.ch	
zurich	kebab	N/A	http://yellow.local.ch/en/d/Zurich/8004/Kebab-Doner/Flora-New-Point-aF-xIUpHgSOsoRM-QA73hw?dwhat=kebab&dwhere=zurich	Flora New Point	Albisriederplatz 5	 8004 Zürich	043 311 12 12		
zurich	kebab	N/A	http://yellow.local.ch/en/d/Zurich/8048/Restaurant/Neu-Punkt-Altstetten-GmbH-g-Ga2V1TlG5a9TpiLQ8QQw?dwhat=kebab&dwhere=zurich	Neu Punkt Altstetten GmbH	Altstetterstrasse 147	 8048 Zürich	043 817 01 36		
zurich	kebab	N/A	http://yellow.local.ch/en/d/Zurich/8050/Restaurant/New-Point-O0i3MbF2JCL3veoQrwP1ug?dwhat=kebab&dwhere=zurich	New Point	Binzmühlestrasse 43	 8050 Zürich	043 299 98 25		
zurich	kebab	N/A	http://yellow.local.ch/en/d/Zurich/8055/Restaurant/Star-Pizzeria-nYA6FPiRO5VFZR_0pP63KQ?dwhat=kebab&dwhere=zurich	Star Pizzeria	Döltschihalde 31	 8055 Zürich	044 462 82 04		
zurich	kebab	N/A	http://yellow.local.ch/en/d/Zurich/8049/Kebab-Doner/Kebap-Haus-Hongg-Take-Away-g6fAG6J8_Q5v6g1EUi4mVw?dwhat=kebab&dwhere=zurich	Kebap Haus Höngg Take Away	Limmattalstrasse 227	 8049 Zürich	043 300 43 01		
zurich	kebab	N/A	http://yellow.local.ch/en/d/Zurich/8006/Pizzeria/Pizzeria-Monterigi-f7Ter6lSzt8rBKoXN2b32A?dwhat=kebab&dwhere=zurich	Pizzeria Monterigi	Universitätstrasse 110	 8006 Zürich	044 362 13 33		
zurich	kebab	N/A	http://yellow.local.ch/en/d/Zurich/8008/Kebab-Doner/Spuntino--nATy3Z3uJl_Zoek70nOwQ?dwhat=kebab&dwhere=zurich	Spuntino	Bellerivestrasse 253	 8008 Zürich	043 499 80 80		
zurich	kebab	N/A	http://yellow.local.ch/en/d/Zurich/8046/Restaurant/Ayverdi-Murtaza-i-lb42zZxlBQPxdNHCP8EA?dwhat=kebab&dwhere=zurich	Ayverdi Murtaza	Wehntalerstrasse 289	 8046 Zürich	043 299 02 30		
zurich	kebab	N/A	http://yellow.local.ch/en/d/Zurich/8003/La-Favorita--3IUdcUH-RgtyoHNNSR5nw?dwhat=kebab&dwhere=zurich	La Favorita	Birmensdorferstrasse 169	 8003 Zürich	044 450 15 15	www.lafavorita.ch	
