cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	pizza	N/A	http://yellow.local.ch/en/d/Zurich/8037/Restaurant/al-fiume-tC7bEVa8ztnCJRqwob5MbA?dwhat=pizza&dwhere=zurich	al fiume	Hönggerstrasse 43	 8037 Zürich	044 271 06 46	www.al-fiume.ch	
zurich	pizza	N/A	http://yellow.local.ch/en/d/Zurich/8055/Pizza-Take-Away/il-Basilico-ojIMejxnew7cMGGf4FEGVA?dwhat=pizza&dwhere=zurich	il Basilico	Birmensdorferstrasse 364	 8055 Zürich	044 450 88 99	www.ilbasilico.ch	
zurich	pizza	N/A	http://yellow.local.ch/en/d/Zurich/8006/Restaurant/Jimmys-Pizzeria-Bodega-jjA1OwqePkmRhzUQOT0CKw?dwhat=pizza&dwhere=zurich	Jimmy's Pizzeria-Bodega	Culmannstrasse 1	 8006 Zürich	044 251 36 51	www.jimmys-pizzeria.ch?page_id=9	
zurich	pizza	N/A	http://yellow.local.ch/en/d/Zurich/8002/Takeout/Safran-Take-Away-und-Shisha-Lounge-YIbja6T4nbPYBpfuNY-9XA?dwhat=pizza&dwhere=zurich	Safran Take Away und Shisha Lounge	Bederstrasse 94	 8002 Zürich	044 281 95 00	www.facebook.com/SafranShishaLounge	
zurich	pizza	N/A	http://yellow.local.ch/en/d/Zurich/8048/Restaurant/Pizza-Zuri-5A-dhdQR4Tw_1vw1eXv0iw?dwhat=pizza&dwhere=zurich	Pizza Züri	Badenerstrasse 558	 8048 Zürich	044 492 82 82	www.pizzazueri.ch	
zurich	pizza	N/A	http://yellow.local.ch/en/d/Zurich/8048/Restaurant/Restaurant-Bociodromo-da-Cono-DWDz47Y-BStHrtrSq73oXQ?dwhat=pizza&dwhere=zurich	Restaurant Bociodromo da Cono	Badenerstrasse 526	 8048 Zürich	044 492 46 41		
zurich	pizza	N/A	http://yellow.local.ch/en/d/Zurich/8050/Restaurant/New-Point-O0i3MbF2JCL3veoQrwP1ug?dwhat=pizza&dwhere=zurich	New Point	Binzmühlestrasse 43	 8050 Zürich	043 299 98 25		
zurich	pizza	N/A	http://yellow.local.ch/en/d/Zurich/8047/Restaurant/Restaurant-Friedbrunnen-qX2Hu8V-M2THEUpYXq-jKQ?dwhat=pizza&dwhere=zurich	Restaurant Friedbrunnen	Püntstrasse 9	 8047 Zürich	044 491 76 76		
zurich	pizza	N/A	http://yellow.local.ch/en/d/Zurich/8048/Pizza-Take-Away/Bella-Pizza-Kurier-Kgtx38O-AmcEsUgAvHXYrA?dwhat=pizza&dwhere=zurich	Bella Pizza Kurier	Badenerstrasse 816	 8048 Zürich	044 431 30 30	www.bellapizza.ch	
zurich	pizza	N/A	http://yellow.local.ch/en/d/Zurich/8004/Kebab-Doner/Flora-New-Point-aF-xIUpHgSOsoRM-QA73hw?dwhat=pizza&dwhere=zurich	Flora New Point	Albisriederplatz 5	 8004 Zürich	043 311 12 12		
