cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	pharmacy	N/A	http://yellow.local.ch/en/d/Zurich/8008/Druggist/TopPharm-Apotheke-und-Drogerie-Hoschgasse-AG-XV1Zx5GoJeVDrghTN8V0Kw?dwhat=pharmacy&dwhere=zurich	TopPharm Apotheke und Drogerie Höschgasse AG	Höschgasse 50	 8008 Zürich	044 387 10 87	www.hoeschgasse.apotheke.ch	
zurich	pharmacy	N/A	http://yellow.local.ch/en/d/Zurich/8005/Cafes/ApoDoc-Hardbrucke-vD4kVU--xN4tKfsJhNpNWg?dwhat=pharmacy&dwhere=zurich	ApoDoc Hardbrücke	Hardstrasse 235	 8005 Zürich	044 922 44 66	www.apodoc.ch	
zurich	pharmacy	N/A	http://yellow.local.ch/en/d/Zurich/8001/Emergency-services/Bellevue-Apotheke-Zurich-MYr5mMNhSn7S-88zGVUMHQ?dwhat=pharmacy&dwhere=zurich	Bellevue Apotheke Zürich	Theaterstrasse 14	 8001 Zürich	044 266 62 22	www.bellevue-apotheke.com	
zurich	pharmacy	N/A	http://yellow.local.ch/en/d/Zurich/8001/Pharmacy/Leonhards-Apotheke-T3ER6EeTaE2g5V4Bxt8GaA?dwhat=pharmacy&dwhere=zurich	Leonhards-Apotheke	Stampfenbachstrasse 7	 8001 Zürich	044 252 44 20	www.leonhards.apotheke.ch	
zurich	pharmacy	N/A	http://yellow.local.ch/en/d/Zurich/8001/Pharmacy/City-Apotheke-z-Sihlporte-m-a9lL2g4kDUCLcjPnPdZw?dwhat=pharmacy&dwhere=zurich	City-Apotheke z. Sihlporte	Löwenstrasse 1	 8001 Zürich	044 221 13 74	www.cityapo.ch	
zurich	pharmacy	N/A	http://yellow.local.ch/en/d/Zurich/8049/Druggist/Apotheke-Drogerie-Honggermarkt-AG-GEawGgrQwUhqZBsa734TOA?dwhat=pharmacy&dwhere=zurich	Apotheke Drogerie Hönggermarkt AG	Limmattalstrasse 186	 8049 Zürich	044 341 46 16	www.apotheke-hoenggermarkt.ch	
zurich	pharmacy	N/A	http://yellow.local.ch/en/d/Zurich/8005/Pharmacy/Limmatplatz-Apotheke-AG-hfKoN56tJW7gDJIEhLl78g?dwhat=pharmacy&dwhere=zurich	Limmatplatz Apotheke AG	Limmatstrasse 119	 8005 Zürich	043 366 60 20	www.limmatplatz-apotheke.ch	
zurich	pharmacy	N/A	http://yellow.local.ch/en/d/Zurich/8001/Pharmacy/Victoria-Apotheke-sXvNcr14WAKi6PT_atlcPA?dwhat=pharmacy&dwhere=zurich	Victoria Apotheke	Bahnhofstrasse 71	 8001 Zürich	043 344 60 60	www.pharmaworld.com	
zurich	pharmacy	N/A	http://yellow.local.ch/en/d/Zurich/8045/Pharmacy/Manesse-Apotheke-qvWjJa71tDPW87oZOfUTXQ?dwhat=pharmacy&dwhere=zurich	Manesse-Apotheke	Malzstrasse 1	 8045 Zürich	044 462 24 33		
zurich	pharmacy	N/A	http://yellow.local.ch/en/d/Zurich/8001/Pharmacy/TopPharm-Apotheke-Paradeplatz-AG-U6OcXB2cUmb-Uzc8ITx4Tw?dwhat=pharmacy&dwhere=zurich	TopPharm Apotheke Paradeplatz AG	Poststrasse 6	 8001 Zürich	044 213 12 30	www.paradeplatz.apotheke.ch	
zurich	pharmacy	N/A	http://yellow.local.ch/en/d/Zurich/8050/Pharmacy/Sternen-Apotheke-G34-TWQ0wpAW2UcOJZmXAg?dwhat=pharmacy&dwhere=zurich	Sternen-Apotheke	Schaffhauserstrasse 350	 8050 Zürich	044 311 53 33	www.sternenapo.ch	
