cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8057/Glasses-and-contact-lenses/Die-Brille-AG-USE0WQLWbIwaSONuvLoRjg?dwhat=optician&dwhere=zurich	Die Brille AG	Schaffhauserstrasse 70	 8057 Zürich	044 350 80 90	www.die-brille.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8005/Optometry/Ottlens-oP-8-mW1bsgVLtpiNnfJlA?dwhat=optician&dwhere=zurich	Ottlens	Josefstrasse 53	 8005 Zürich	044 272 75 78	www.ottlens.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8001/Glasses-and-contact-lenses/Gautschi-Optik-Zurich-AG-cisupu8B_gT10mBGHF4hwA?dwhat=optician&dwhere=zurich	Gautschi Optik Zürich AG	Uraniastrasse 7	 8001 Zürich	044 221 15 30	www.gautschi-augenoptik.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8001/Optician/Burri-Optik-Uraniastrasse-LuKcs9oZseuT2bucRvDHbA?dwhat=optician&dwhere=zurich	Burri Optik Uraniastrasse	Uraniastrasse 22	 8001 Zürich	044 218 77 88	www.burrioptik.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8001/Glasses-and-contact-lenses/Visilab-Sihlporte-e9fmqcWtMpZODMgx-2wUJw?dwhat=optician&dwhere=zurich	Visilab Sihlporte	Sihlporte 3	 8001 Zürich	043 344 72 10	www.visilab.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8001/Optician/Scheerer-Optik-PqZ0bPE2a98HpU8hhQfyDQ?dwhat=optician&dwhere=zurich	Scheerer Optik	Bahnhofplatz 9 / Eing. Linth Escher Gasse	 8001 Zürich	044 211 82 22	www.scheereroptik.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8048/Optician/VISILAB-Letzipark-AG-LNlDu-KCM1sZlyzMLAWzGw?dwhat=optician&dwhere=zurich	VISILAB Letzipark AG	EKZ Letzipark, Baslerstrasse 50	 8048 Zürich	044 401 08 08	www.visilab.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8001/Optometry/Nielsen-Optik-AG-TxCrSIMI7Gy-KpGPHhzGIg?dwhat=optician&dwhere=zurich	Nielsen Optik AG	Bleicherweg 5 / beim Paradeplatz	 8001 Zürich	044 211 75 44	www.nielsen-optik.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8006/Glasses-and-contact-lenses/Biefer-Alfred-8FskWUsxUt__J_NWxPUTjQ?dwhat=optician&dwhere=zurich	Biefer Alfred	Vogelsangstrasse 46	 8006 Zürich	044 261 36 96	www.bieferoptik.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8001/Optician/VISILAB-Zurich-AG-xyeIaDgNutFWPZeKT0qo_g?dwhat=optician&dwhere=zurich	VISILAB Zürich AG	ShopVille-Zürich Hauptbahnhof, Bahnhofplatz 15	 8001 Zürich	044 212 73 33	www.visilab.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8001/Optician/Linsen-am-Stadelhofen-Z04n9w8h6gGRGFs915OI0w?dwhat=optician&dwhere=zurich	Linsen am Stadelhofen	Goethestrasse 20	 8001 Zürich	044 268 30 20	www.apothekestadelhofen.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8002/Glasses-and-contact-lenses/Ammann-Optik-Enge-jwrfQrbg87ReqGIaOgOAXw?dwhat=optician&dwhere=zurich	Ammann Optik Enge	Bleicherweg 39	 8002 Zürich	044 202 56 42	www.ammannoptik.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8001/Optometry/Alpengluhn-am-Rudenplatz-mCCKkx3jfioN-BRwtFHQrg?dwhat=optician&dwhere=zurich	Alpenglühn am Rüdenplatz	Nägelihof 1	 8001 Zürich	044 251 55 51	www.alpengluehn.ch	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8005/Optician/MYKITA-SHOP-ZURICH-58bi_cdzgL5lzWY4tX6dDw?dwhat=optician&dwhere=zurich	MYKITA SHOP ZÜRICH	Langstrasse 187	 8005 Zürich	043 818 27 30	www.mykita.com	
zurich	optician	N/A	http://yellow.local.ch/en/d/Zurich/8037/Glasses-and-contact-lenses/Schurz-Brillen-Kontaktlinsen-tmUMtmhfQy_MzZ8DpDtm1A?dwhat=optician&dwhere=zurich	Schürz Brillen & Kontaktlinsen	Rotbuchstrasse 72	 8037 Zürich	044 362 62 30	www.schuerzoptik.ch	
