cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8006/Health-and-sports-massage/Stutz-Rita-S6qehgKoV47YhrQLV5mD-Q?dwhat=massage&dwhere=zurich	Stutz Rita	Weinbergstrasse 53	 8006 Zürich	044 261 17 63	www.akupunktur-massage-zuerich.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8051/Health-and-sports-massage/Med-Therapie-Praxis-_dm5f5x86-yb0vvfI8Qz6A?dwhat=massage&dwhere=zurich	Med. Therapie Praxis	Glattwiesenstrasse 213	 8051 Zürich	043 558 10 18	www.medtherapiepraxis.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8008/Cosmetic-institute/Luxe-Beauty-Kosmetik-9kZ7v7LaYMUCKobdeaNsSw?dwhat=massage&dwhere=zurich	Luxe Beauty Kosmetik	Dufourstrasse 134A	 8008 Zürich	044 556 74 99	www.luxebeautymedizin.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8048/Physical-therapy/Kung-Andrea-v09WjzNGyyPVKCp7L8PNOw?dwhat=massage&dwhere=zurich	Küng Andrea	Baslerstrasse 119	 8048 Zürich	044 432 41 25	www.physiotherapie-andrea-kueng.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8008/Nail-cosmetics/Fitarium-jOtsYJaRjZvnlH5pMoEEiw?dwhat=massage&dwhere=zurich	Fitarium	Münchhaldenstrasse 19 /Ecke Seefeldstr.	 8008 Zürich	044 422 37 57	www.fitarium.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8008/Physical-therapy/Physiotherapie-Seefeld-eg-Kc2gjkpquoOsQBuBwjw?dwhat=massage&dwhere=zurich	Physiotherapie Seefeld	Seefeldstrasse 75	 8008 Zürich	044 381 10 09	www.physioseefeld.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8032/Health-and-sports-massage/Massage-Therapie-Zentrum-GmbH-EQxsII74oBROynjp6a5Hzw?dwhat=massage&dwhere=zurich	Massage Therapie Zentrum GmbH	Zeltweg 48	 8032 Zürich	044 252 62 62	www.massage-therapie-zentrum.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8044/Reflexology/Praxis-fur-manuelle-Lymphdrainage-und-Atlas-proFilax-14gRB57MQsbQJGQHyNcYCg?dwhat=massage&dwhere=zurich	Praxis für manuelle Lymphdrainage und Atlas proFilax	Toblerstrasse 60	 8044 Zürich	043 233 90 83	atlasprofilax-zh.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8038/Health-and-sports-massage/Bucher-Claudia-WtZ2SDqmvl8RJAkWqfksiA?dwhat=massage&dwhere=zurich	Bucher Claudia	Etzelstrasse 10	 8038 Zürich	079 812 17 06	www.buchermassagen.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8004/Physical-therapy/Physiotherapie-Greiner-GBGMBWhIMJoVvsGClVeWPw?dwhat=massage&dwhere=zurich	Physiotherapie Greiner	Bäckerstrasse 9	 8004 Zürich	044 241 67 60	www.physiotherapie-greiner.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8008/Gyrotonic/MULADHARA-V4YthJfjZ4E6yLyjSOT0CQ?dwhat=massage&dwhere=zurich	MULADHARA	Seefeldstrasse 305a	 8008 Zürich	044 381 63 00	www.muladhara.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8055/Ayurveda/Beauty-Wellness-InBalance-SU8aCrdJIHwsQqJTcPS86A?dwhat=massage&dwhere=zurich	Beauty & Wellness InBalance	Schweighofstrasse 410	 8055 Zürich	076 563 20 26	www.beauty-wellness-inbalance.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8038/Health-and-sports-massage/Van-Klaveren-Anja-Vrf2woLNRV_cIx3ynhYwtQ?dwhat=massage&dwhere=zurich	Van Klaveren Anja	Moosstrasse 8	 8038 Zürich	076 456 60 04	www.ajna-praxis.ch	
zurich	massage	N/A	http://yellow.local.ch/en/d/Zurich/8005/Coaching/Burnier-Daniel-und-Ender-Markus-B9wXWPZlA_lH_g9-mik8HQ?dwhat=massage&dwhere=zurich	Burnier Daniel und Ender Markus	Sihlquai 253	 8005 Zürich	076 387 00 90	www.praxis5.ch	
