cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	garrage	N/A	http://yellow.local.ch/en/d/Zurich/8004/Garage/Renault-Zurich-Albisriederplatz-RRG-Zurich-SA--iEm6TE4DkAFSV5n6yUNwg?dwhat=garrage&dwhere=zurich	Renault Zürich Albisriederplatz RRG Zürich SA	Badenerstrasse 330	 8004 Zürich	0840 774 774	www.rrgsuisse.ch	
zurich	garrage	N/A	http://yellow.local.ch/en/d/Zurich/8047/Garage/Rey-AG-Garage-cSZu029QVa-8nWWdQNIE2w?dwhat=garrage&dwhere=zurich	Rey AG Garage	Albisriederstrasse 381	 8047 Zürich	044 406 20 60	garage-rey.ch	
zurich	garrage	N/A	http://yellow.local.ch/en/d/Zurich/8032/Garage/Minerva-Garage-AG-sUmokMlmOGXnA-eW6pPA3w?dwhat=garrage&dwhere=zurich	Minerva Garage AG	Minervastrasse 28	 8032 Zürich	044 251 81 22	www.minerva-garage.ch	
zurich	garrage	N/A	http://yellow.local.ch/en/d/Zurich/8055/Garage/Ernst-Ruckstuhl-AG-i4_6XAXPGArCburpYWxlsA?dwhat=garrage&dwhere=zurich	Ernst Ruckstuhl AG	Gutstrasse 3	 8055 Zürich	044 456 34 00	www.ruckstuhlgaragen.ch	
zurich	garrage	N/A	http://yellow.local.ch/en/d/Zurich/8008/Garage/Mercedes-Benz-Automobil-AG-KA7mPuT4Q5j0BWLvKaw66w?dwhat=garrage&dwhere=zurich	Mercedes-Benz Automobil AG	Färberstrasse 6 /Dufourstrasse 56	 8008 Zürich	044 268 99 66	www.merbagretail.ch/seefeld	
zurich	garrage	N/A	http://yellow.local.ch/en/d/Zurich/8051/Garage/Pneuhaus-Luegisland-AG-miQiiDNVZEgVzPyrbtaSrg?dwhat=garrage&dwhere=zurich	Pneuhaus Luegisland AG	Dübendorfstrasse 26	 8051 Zürich	044 322 55 33	www.pneuhaus.ch	
zurich	garrage	N/A	http://yellow.local.ch/en/d/Zurich/8047/Garage/Auto-Ecker-AG-5OFDl8BzEk47-IcNcO_a-g?dwhat=garrage&dwhere=zurich	Auto Ecker AG	Freilagerstrasse 27	 8047 Zürich	044 491 87 87	www.autoecker.ch	
zurich	garrage	N/A	http://yellow.local.ch/en/d/Zurich/8050/Garage/Emil-Frey-AG-Garage-Zurich-Nord-UK1FC5PbiYH6MqekXFMg-A?dwhat=garrage&dwhere=zurich	Emil Frey AG Garage Zürich Nord	Thurgauerstrasse 35	 8050 Zürich	044 306 77 77	www.emil-frey.ch/garagezuerichnord	
zurich	garrage	N/A	http://yellow.local.ch/en/d/Zurich/8002/Garage/BRUNAU-GARAGE-icij6xzoIrUmkFH074X8zw?dwhat=garrage&dwhere=zurich	BRUNAU GARAGE	Brunaustrasse 89	 8002 Zürich	044 202 53 55	www.brunaugarage.ch	
zurich	garrage	N/A	http://yellow.local.ch/en/d/Zurich/8003/Tires-tire-service/Uetli-Garage-AG-5ftbxEcYJKWLyj80I7tUuA?dwhat=garrage&dwhere=zurich	Uetli Garage AG	Saumstrasse 7-11	 8003 Zürich	044 463 20 20	www.uetli-garage.ch	
