cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8005/Hotel/Sheraton-Zurich-Hotel-x_1YMRfCeWXh6kCHPDSBdg?dwhat=hotel&dwhere=zurich	Sheraton Zürich Hotel	Pfingstweidstrasse 100	 8005 Zürich	044 285 40 00	www.sheratonzurichhotel.com	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8008/Hotel/Hotel-NI-MO-gNpfARq9EmlI-A9DzQV39g?dwhat=hotel&dwhere=zurich	Hotel NI-MO	Seefeldstrasse 16	 8008 Zürich	044 370 30 30	www.hotel-nimo.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Steakhouse/Deja-Vu-Gastro-GmbH-ehGr7sFfY8q6EoQKfKu_-A?dwhat=hotel&dwhere=zurich	Deja Vu Gastro GmbH	Niederdorfstrasse 19	 8001 Zürich	043 321 84 84		
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hotel/Widder-Hotel-6HiUIZNmJjPTbE8xKQde2A?dwhat=hotel&dwhere=zurich	Widder Hotel	Rennweg 7	 8001 Zürich	044 224 25 26	www.widderhotel.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8004/Travel-agency/Airline-Tourism-Center-GmbH-GWSPMfraNayvTP-4ybAOzg?dwhat=hotel&dwhere=zurich	Airline- & Tourism Center GmbH	Badenerstrasse 15	 8004 Zürich	044 286 99 99	www.aviareps.com	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8048/Restaurant/Restaurant-Buckhuser-zTBLSFuEzZl22mACtKzHFw?dwhat=hotel&dwhere=zurich	Restaurant Buckhuser	Buckhauserstrasse 36	 8048 Zürich	058 204 87 87	www.buckhuser.ch/de	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hotel/Hotel-Florhof-UjYRkPa5sYxRMK8i-Po0zw?dwhat=hotel&dwhere=zurich	Hotel Florhof	Florhofgasse 4	 8001 Zürich	044 250 26 26	www.hotelflorhof.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8002/Hotel/Hotel-Ascot-jB54hHkN-caFZlFIu4iH1g?dwhat=hotel&dwhere=zurich	Hotel Ascot	Tessinerplatz 9	 8002 Zürich	044 208 14 14	www.ascot.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hotel/Kindli-mAqcDrSlk1UNBEDaoCITwg?dwhat=hotel&dwhere=zurich	Kindli	Pfalzgasse 1	 8001 Zürich	043 888 76 76	www.kindli.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hotel/Baur-au-Lac-tXtrArC-DBQW7GTSu_mwXg?dwhat=hotel&dwhere=zurich	Baur au Lac	Talstrasse 1	 8001 Zürich	044 220 50 20	www.bauraulac.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hotel/Hotel-St-Gotthard-hS87OxBDil70keXFItpKtg?dwhat=hotel&dwhere=zurich	Hotel St. Gotthard	Bahnhofstrasse 87	 8001 Zürich	044 227 77 00	www.hotelstgotthard.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hotel/Storchen-Zurich-zOVQdAlNAed86Yheh6wIAw?dwhat=hotel&dwhere=zurich	Storchen Zürich	Weinplatz 2	 8001 Zürich	044 227 27 27	www.storchen.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8002/Hotel/Sheraton-Zurich-Neues-Schloss-Hotel-ArabellaHotelbetriebeAG-JgdeMQfZUvQFPmyfCyUkiw?dwhat=hotel&dwhere=zurich	Sheraton Zürich Neues Schloss Hotel, ArabellaHotelbetriebeAG	Stockerstrasse 17	 8002 Zürich	044 202 66 02	www.sheratonneuesschloss.com	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8032/Hotel/Hotel-Hottingen-hU4LZ-kRDgfR5g-u5DPtdA?dwhat=hotel&dwhere=zurich	Hotel Hottingen	Hottingerstrasse 31 /Cäcilienstr.10	 8032 Zürich	044 256 19 19	www.hotelhottingen.ch	
zurich	hotel	N/A	http://yellow.local.ch/en/d/Zurich/8045/Hotel/Four-Points-by-Sheraton-Sihlcity-J5IP4q48MUWyUtR1QAM5cA?dwhat=hotel&dwhere=zurich	Four Points by Sheraton Sihlcity	Kalandergasse 1	 8045 Zürich	044 554 00 00	www.fourpointszurich.com	
