cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	nails	N/A	http://yellow.local.ch/en/d/Zurich/8004/Nail-cosmetics/NailStudio-Diva-aFKkyKO2sQslEUY5ZqjUOw?dwhat=nails&dwhere=zurich	NailStudio Diva	Badenerstrasse 131	 8004 Zürich	077 960 97 57	www.studiodiva.ch	
zurich	nails	N/A	http://yellow.local.ch/en/d/Zurich/8038/Cosmetic-institute/elleixier-cosmeticstudio-HqzpfZMzaevCDPDjZI3LlQ?dwhat=nails&dwhere=zurich	elle'ixier cosmeticstudio	Seestrasse 336	 8038 Zürich	044 251 63 60	www.elleixier-cosmetic.ch/home	
zurich	nails	N/A	http://yellow.local.ch/en/d/Zurich/8001/Hairdresser/En-Vogue-Coiffure-rMzUhKztAVR7OwBN22O5RA?dwhat=nails&dwhere=zurich	En Vogue Coiffure	Bahnhofstrasse 35	 8001 Zürich	044 211 66 44	www.envoguecoiffure.com	
zurich	nails	N/A	http://yellow.local.ch/en/d/Zurich/8001/Nail-cosmetics/estomed-clinics-EDjOFDKxK792nDiFA6tlIQ?dwhat=nails&dwhere=zurich	estomed clinics	Usteristrasse 23	 8001 Zürich	044 212 06 06	www.estomed-clinics.ch	
zurich	nails	N/A	http://yellow.local.ch/en/d/Zurich/8038/Hairdresser/Hairs-Beauty-and-Nails-GmbH-VUqzmP1Gp9PTl9C-kopu1w?dwhat=nails&dwhere=zurich	Hair's Beauty and Nails GmbH	Kalchbühlstrasse 75	 8038 Zürich	044 480 16 06	www.hairs.ch	
zurich	nails	N/A	http://yellow.local.ch/en/d/Zurich/8005/Hairdresser/InStyle-AG-UqOfnihyRW82ILcHPRK1oA?dwhat=nails&dwhere=zurich	InStyle AG	Turbinenstrasse 21	 8005 Zürich	044 355 11 00	www.instyle-zueri.ch	
zurich	nails	N/A	http://yellow.local.ch/en/d/Zurich/8006/Nail-cosmetics/loira-HXcn0FJgCrmdMuEgYpB7Ig?dwhat=nails&dwhere=zurich	loira	Weinbergstrasse 68	 8006 Zürich	044 362 63 00	www.loirahairstyling.ch	
zurich	nails	N/A	http://yellow.local.ch/en/d/Zurich/8005/Hairdresser/Memo-Men-sHIZEYzrJwWOGLWioL8hIg?dwhat=nails&dwhere=zurich	Memo Men	Josefstrasse 53	 8005 Zürich	043 366 96 16	www.memomen.ch	
zurich	nails	N/A	http://yellow.local.ch/en/d/Zurich/8051/Vocational-college/Swiss-Beauty-Academy-GmbH-NXMhAERQoYLKMQr8xRSHCQ?dwhat=nails&dwhere=zurich	Swiss Beauty Academy GmbH	Dübendorfstrasse 2	 8051 Zürich	044 340 10 70	www.swiss-beauty-studio.ch	
zurich	nails	N/A	http://yellow.local.ch/en/d/Zurich/8001/Nail-cosmetics/Beauty-Wellness-Oasis-GmbH-NwvSu9dgR-TJHIy0s0scOQ?dwhat=nails&dwhere=zurich	Beauty + Wellness Oasis GmbH	Löwenstrasse 53	 8001 Zürich	044 242 38 90	www.beautywellnessoasis.com	
zurich	nails	N/A	http://yellow.local.ch/en/d/Zurich/8004/Nail-cosmetics/Cindarella-Beauty4you-ZyO3ppU7mlO4Q4SJtsiM3g?dwhat=nails&dwhere=zurich	Cindarella-Beauty4you	Sihlfeldstrasse 85	 8004 Zürich	043 243 39 59	www.cindarellabeauty4you.ch	
