cityName	searchPhrase	resultNum	ypchsite	name	address1	address2	phone	website
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8037/Florist/blumenundso-hfN6k2HV_c5Mae_lUL-ThA?dwhat=florist&dwhere=zurich	blumenundso	Im Waidegg 1 / Am Bucheggplatz	 8037 Zürich	044 361 50 88	www.blumenundso.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8003/Florist/Blumenhaus-Wiedikon--H4IHOtffJk9HrYqASVsXA?dwhat=florist&dwhere=zurich	Blumenhaus Wiedikon	Zurlindenstrasse 55	 8003 Zürich	044 463 36 37	www.blumenstrauss-zuerich.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8001/Florist/Blumen-Schipfe-AG-Abplanalp-Floristen-toz3zKd3OzxSLO62ZRyhDA?dwhat=florist&dwhere=zurich	Blumen Schipfe AG Abplanalp Floristen	Schipfe 25	 8001 Zürich	044 211 62 62	www.blumenschipfe.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8032/Florist/Blumenhaus-Hegibach-jpOj4yIJl6Q6elE-AIUeVw?dwhat=florist&dwhere=zurich	Blumenhaus Hegibach	Forchstrasse 103	 8032 Zürich	044 381 71 05	www.blumenhegibach.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8001/Florist/MARSANO-AG-iT-e-tAO4EG1GgV7BRuZSg?dwhat=florist&dwhere=zurich	MARSANO AG	Paradeplatz, Bahnhofstrasse 28	 8001 Zürich	044 211 20 02	www.marsano.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8008/Florist/Valse-des-Roses-6i7cPCUWlhCj_IcpXC-VPA?dwhat=florist&dwhere=zurich	Valse des Roses	Bellerivestrasse 249	 8008 Zürich	044 888 92 72	www.valse-des-roses.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8001/Florist/Rosenborse-GmbH--iBl2S6xfR-QOUjlL3_jKw?dwhat=florist&dwhere=zurich	Rosenbörse GmbH	Schützengasse 23	 8001 Zürich	043 344 90 90	www.rosenboerse.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8003/Florist/Blumen-Fischer-GmbH-pyWCqXrENkX40NvADQrObw?dwhat=florist&dwhere=zurich	Blumen Fischer GmbH	Birmensdorferstrasse 240	 8003 Zürich	044 462 04 88	www.blumenfischer.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8001/Florist/blumen-fitze-AG-plO8PgXlhv8OTkpkmMYRdA?dwhat=florist&dwhere=zurich	blumen fitze AG	Augustinergasse 20	 8001 Zürich	044 221 21 61	www.blumen-fitze.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8048/Florist/Altstetter-Blumen-ilm6ODlmzv3eAXPxACnqiQ?dwhat=florist&dwhere=zurich	Altstetter Blumen	Lindenplatz 4	 8048 Zürich	044 431 12 17	www.albisrieder-pflanzen.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8047/Florist/Blumen-Fee-BLUMEN-und-GESCHENKE-ATDuahkApDLZnacxX9qh_w?dwhat=florist&dwhere=zurich	Blumen-Fee BLUMEN und GESCHENKE	Albisriederstrasse 342	 8047 Zürich	044 401 18 18	www.blumen-fee.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8038/Florist/Blumenhalle-Wollishofen-AG-3FxksHk3Mv6VkMc81EZkJg?dwhat=florist&dwhere=zurich	Blumenhalle Wollishofen AG	Studackerstrasse 8 /Tramendstation Wollishofen	 8038 Zürich	044 482 41 42	www.blumenhalle.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8046/Florist/Blumen-Ammann-rIbstIcM_Ee0C8764ZpOiQ?dwhat=florist&dwhere=zurich	Blumen Ammann	Wehntalerstrasse 285	 8046 Zürich	044 371 32 30	www.blumenammann.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8005/Floral-arrangements/Le-fleuriste-mUNwHm2YYM9skazcpgUWMQ?dwhat=florist&dwhere=zurich	Le fleuriste	Limmatstrasse 189	 8005 Zürich	044 272 38 21	www.lefleuriste.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8049/Florist/Blumen-Jakob-WBH4WcikH06xk2PgRdp-Jw?dwhat=florist&dwhere=zurich	Blumen Jakob	Limmattalstrasse 224	 8049 Zürich	044 341 88 20	www.blumen-jakob.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8038/Florist/dickicht-blumen-accessoires-Gaby-Dick-YqXLg9Qc73ttBMEn6SFs9Q?dwhat=florist&dwhere=zurich	dickicht blumen + accessoires Gaby Dick	Mutschellenstrasse 189	 8038 Zürich	044 482 11 70	www.dickicht.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8004/Florist/Lowenzahn-GmbH-1AibB7A6O81t190hAYFVIQ?dwhat=florist&dwhere=zurich	Löwenzahn GmbH	Morgartenstrasse 7	 8004 Zürich	044 291 44 11	www.loewenzahn.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8008/Florist/Blumen-Art-eN3OLespisKapEypRzcesA?dwhat=florist&dwhere=zurich	Blumen Art	Seefeldstrasse 134	 8008 Zürich	044 383 06 26	www.blumenart.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8050/Florist/Blumen-Oertig-y6b6_8dMeY33xlWsMUaizw?dwhat=florist&dwhere=zurich	Blumen Oertig	Schaffhauserstrasse 354	 8050 Zürich	044 311 48 94	www.oertig.ch	
zurich	florist	N/A	http://yellow.local.ch/en/d/Zurich/8001/Florist/Bergmann-Urs-oJzCf4KaGFPIJi0XBWlE1A?dwhat=florist&dwhere=zurich	Bergmann Urs	Marktgasse 6	 8001 Zürich	044 261 94 25	www.bergmann-florist.ch	
